Marquette,11/11/2011,37,91,Away,,-,"13,834"
Hartford,11/16/2011,63,50,Away,,-,821
Siena,11/19/2011,53,65,Home,,-,"1,937"
Minnesota,11/21/2011,56,85,Away,,-,"10,487"
Navy,11/27/2011,56,64,Away,,-,"1,276"
St. Francis (NY),12/01/2011,54,64,Home,,-,789
LIU Brooklyn,12/03/2011,76,85,Home,,-,"1,146"
Maryland,12/07/2011,74,77,Away,,-,"9,875"
Loyola Maryland,12/10/2011,54,65,Home,,-,"1,620"
Penn St.,12/18/2011,43,72,Away,,-,"7,202"
Savannah St.,12/22/2011,41,45,Away,,-,275
American,12/29/2011,49,42,Home,,-,860
Albany (NY),12/31/2011,64,65,Home,,-,800
Monmouth,01/05/2012,59,73,Away,,-,936
Fairleigh Dickinson,01/07/2012,66,45,Away,,-,583
Central Conn. St.,01/12/2012,66,71,Home,,-,749
Bryant,01/14/2012,64,60,Home,,-,799
LIU Brooklyn,01/19/2012,62,77,Away,,-,"1,162"
St. Francis (NY),01/21/2012,60,79,Away,,-,567
Quinnipiac,01/26/2012,66,69,Away,,1 OT,"1,021"
Sacred Heart,01/28/2012,81,80,Away,,2 OT,909
Saint Francis (PA),02/02/2012,64,51,Home,,-,"1,133"
Robert Morris,02/04/2012,62,67,Home,,-,"2,003"
Wagner,02/08/2012,44,59,Home,,-,904
Wagner,02/11/2012,57,74,Away,,-,"1,853"
Fairleigh Dickinson,02/16/2012,77,63,Home,,-,"1,253"
Monmouth,02/18/2012,66,68,Home,,-,"2,210"
Central Conn. St.,02/23/2012,63,78,Away,,-,"2,217"
Bryant,02/25/2012,71,62,Away,,-,793
