Pomona-Pitzer,11/12/2011,59,50,Home,,-,875
Arizona St.,11/15/2011,66,60,Away,,-,"4,127"
CSU Bakersfield,11/19/2011,70,79,Away,,-,"1,748"
Central Mich.,11/21/2011,57,67,Home,,-,689
UTSA,11/26/2011,70,64,Away,,1 OT,"1,132"
UCLA,11/28/2011,39,62,Away,,-,"3,885"
Hawaii,12/03/2011,73,67,Home,,-,"1,206"
Northern Ariz.,12/07/2011,49,40,Away,,-,617
Cal St. Northridge,12/10/2011,70,73,Home,,-,"1,088"
Montana St.,12/18/2011,59,36,Home,,-,703
Washington St.,12/22/2011,56,67,Neutral,"Seattle, WA",-,"9,831"
San Francisco,12/29/2011,77,61,Home,,-,821
St. Mary's (CA),12/31/2011,45,74,Home,,-,741
Gonzaga,01/05/2012,45,73,Away,,-,"6,000"
Portland,01/07/2012,43,53,Away,,-,"2,206"
Loyola Marymount,01/12/2012,58,68,Home,,-,"1,582"
San Francisco,01/14/2012,63,78,Away,,-,"1,346"
St. Mary's (CA),01/19/2012,47,61,Away,,-,"3,500"
BYU,01/21/2012,64,77,Home,,-,"3,104"
San Diego,01/26/2012,56,65,Away,,-,"1,830"
Santa Clara,01/28/2012,74,62,Home,,-,"1,298"
Loyola Marymount,02/02/2012,57,67,Away,,-,"3,016"
Gonzaga,02/04/2012,60,72,Home,,-,"2,120"
San Diego,02/09/2012,57,70,Home,,-,747
BYU,02/11/2012,48,86,Away,,-,"19,008"
Seattle,02/16/2012,70,81,Away,,-,"2,959"
Portland,02/18/2012,70,65,Home,,-,"1,149"
Santa Clara,02/23/2012,63,57,Away,,-,"2,188"
San Diego,03/01/2012,54,76,Neutral,"Las Vegas, NV",-,"1,919"
