Fla. Atlantic,11/12/2011,70,65,Neutral,"Seattle, WA",-,"8,465"
Georgia St.,11/13/2011,66,61,Neutral,"Seattle, WA",-,"7,972"
Washington,11/14/2011,63,93,Away,,-,"7,918"
Washington St.,11/20/2011,73,83,Home,,-,"3,613"
UC Santa Barbara,11/22/2011,69,83,Away,,-,"2,447"
Kentucky,11/26/2011,63,87,Away,,-,"24,179"
Lewis & Clark,11/29/2011,76,64,Home,,-,"1,223"
Saint Louis,12/03/2011,53,73,Away,,-,"7,087"
Boise St.,12/07/2011,70,92,Away,,-,"2,460"
Ohio,12/10/2011,54,72,Home,,-,"2,002"
Montana,12/17/2011,65,80,Home,,-,"1,312"
Utah,12/19/2011,67,72,Away,,-,"7,910"
Nevada,12/22/2011,60,78,Away,,-,"3,651"
Gonzaga,12/28/2011,51,90,Away,,-,"6,000"
Santa Clara,01/05/2012,84,74,Home,,-,"1,446"
Pepperdine,01/07/2012,53,43,Home,,-,"2,206"
San Francisco,01/12/2012,70,104,Away,,-,"1,450"
St. Mary's (CA),01/14/2012,61,69,Away,,-,"3,500"
San Diego,01/19/2012,63,82,Home,,-,"1,890"
San Francisco,01/21/2012,71,72,Home,,-,"2,132"
Gonzaga,01/26/2012,62,74,Home,,-,"4,852"
Loyola Marymount,01/28/2012,59,62,Away,,-,"2,988"
Santa Clara,02/02/2012,84,78,Away,,-,"1,609"
BYU,02/04/2012,60,79,Home,,-,"4,159"
Loyola Marymount,02/09/2012,62,76,Home,,-,"2,067"
San Diego,02/16/2012,75,78,Away,,1 OT,"1,835"
Pepperdine,02/18/2012,65,70,Away,,-,"1,149"
St. Mary's (CA),02/23/2012,43,70,Home,,-,"2,829"
BYU,02/25/2012,66,76,Away,,-,"22,700"
Santa Clara,02/29/2012,74,70,Neutral,"Las Vegas, NV",-,694
San Francisco,03/01/2012,66,87,Neutral,"Las Vegas, NV",-,"1,919"
