Bryant,11/11/2011,75,63,Home,,-,"11,734"
Southern Utah,11/12/2011,70,37,Home,,-,"11,765"
UC Davis,11/13/2011,89,74,Home,,-,"11,792"
Baylor,11/15/2011,67,77,Away,,-,"6,941"
Southern California,11/17/2011,56,54,Home,,-,"12,414"
Long Beach St.,11/19/2011,77,73,Home,,1 OT,"12,094"
Arizona,11/23/2011,61,57,Away,,-,"13,761"
UC Santa Barbara,11/26/2011,76,75,Away,,1 OT,"5,011"
Creighton,11/30/2011,83,85,Home,,-,"12,414"
California,12/04/2011,64,63,Home,,-,"12,414"
San Diego,12/07/2011,74,62,Away,,-,"4,708"
UC Riverside,12/19/2011,80,55,Home,,-,"11,555"
Elon,12/22/2011,81,55,Home,,-,"11,370"
Redlands,12/30/2011,94,43,Home,,-,"12,414"
San Diego Christian,01/05/2012,83,52,Home,,-,"10,857"
Chicago St.,01/10/2012,73,65,Home,,-,"12,099"
UNLV,01/14/2012,69,67,Home,,-,"12,414"
New Mexico,01/18/2012,75,70,Away,,-,"15,411"
Air Force,01/21/2012,57,44,Home,,-,"12,414"
Wyoming,01/24/2012,52,42,Away,,-,"5,692"
Colorado St.,01/28/2012,60,77,Away,,-,"6,038"
Boise St.,02/01/2012,58,56,Home,,-,"12,414"
TCU,02/04/2012,83,73,Home,,-,"12,414"
UNLV,02/11/2012,63,65,Away,,-,"18,577"
New Mexico,02/15/2012,67,77,Home,,-,"12,414"
Air Force,02/18/2012,56,58,Away,,-,"2,483"
Wyoming,02/22/2012,67,58,Home,,1 OT,"12,414"
Colorado St.,02/25/2012,74,66,Home,,-,"12,414"
Boise St.,02/29/2012,66,53,Away,,-,"6,145"
TCU,03/03/2012,98,92,Away,,1 OT,"5,955"
Boise St.,03/08/2012,65,62,Neutral,"Las Vegas, NV",-,"8,160"
Colorado St.,03/09/2012,79,69,Neutral,"Las Vegas, NV",-,"16,399"
New Mexico,03/10/2012,59,68,Neutral,"Las Vegas, NV",-,"12,168"
North Carolina St.,03/16/2012,65,79,Neutral,"Columbus, OH",-,"17,030"
