Alabama A&M,11/11/2011,72,63,Home,,-,"2,103"
Nicholls St.,11/15/2011,96,50,Home,,-,"1,907"
Md.-East. Shore,11/18/2011,73,52,Home,,-,"2,885"
Navy,11/22/2011,57,55,Away,,-,"1,726"
Alcorn St.,11/25/2011,83,41,Home,,-,"1,940"
New Orleans,11/26/2011,72,53,Home,,-,"1,958"
San Diego,11/27/2011,65,46,Neutral,"N.O. Arena, New Orleans,",-,"1,967"
Southern U.,11/30/2011,78,53,Home,,-,"1,863"
Georgia Tech,12/03/2011,57,52,Home,,-,"3,170"
Wofford,12/06/2011,50,61,Away,,-,"1,019"
MacMurray,12/10/2011,89,59,Home,,-,"1,896"
Jacksonville St.,12/11/2011,59,51,Home,,-,"1,647"
Syracuse,12/22/2011,61,80,Away,,-,"18,679"
Tex.-Pan American,12/31/2011,53,42,Away,,-,467
UCF,01/04/2012,53,60,Away,,-,"4,495"
Southern Miss.,01/07/2012,66,71,Home,,1 OT,"2,140"
Rice,01/14/2012,49,50,Home,,-,"1,740"
Tulsa,01/18/2012,56,60,Away,,-,"4,108"
UTEP,01/21/2012,66,58,Home,,-,"2,247"
SMU,01/25/2012,80,74,Home,,-,"2,334"
Rice,01/28/2012,74,88,Away,,-,"1,424"
Marshall,02/01/2012,44,63,Away,,-,"5,590"
Houston,02/04/2012,75,54,Home,,-,"2,676"
UTEP,02/11/2012,52,54,Away,,1 OT,"7,503"
Memphis,02/15/2012,64,82,Home,,-,"2,874"
UAB,02/18/2012,73,81,Away,,-,"6,122"
SMU,02/22/2012,50,64,Away,,-,"1,639"
Tulsa,02/25/2012,69,73,Home,,-,"2,195"
Houston,02/29/2012,53,82,Away,,-,"3,506"
East Carolina,03/03/2012,49,66,Home,,-,"2,712"
UAB,03/07/2012,64,72,Neutral,"Memphis, TN",-,"7,824"
