name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ali, Hameed",So.,2012-13,G,6-2,29,81,220,0.368,23,78,0.295,33,43,0.767,52,1.793,56,1.931,5,0.172,42,1.448,218,7.517,35
"Currie, Jelani",Fr.,2012-13,G,6-4,18,12,31,0.387,3,9,0.333,5,13,0.385,14,0.778,7,0.389,2,0.111,0,-,32,1.778,14
"Dvorak, Kennon",Jr.,2012-13,G,6-2,13,5,13,0.385,2,8,0.250,2,3,0.667,13,1.000,2,0.154,0,-,2,0.154,14,1.077,6
"Francis, Dale",Fr.,2012-13,F,6-9,29,29,62,0.468,0,0,-,0,2,0.000,59,2.034,3,0.103,7,0.241,8,0.276,58,2.000,21
"Jordan, Johnathan",So.,2012-13,G,5-10,29,121,300,0.403,9,38,0.237,121,169,0.716,140,4.828,159,5.483,5,0.172,39,1.345,372,12.828,82
"King, James",So.,2012-13,G,6-0,21,11,38,0.289,9,25,0.360,7,10,0.700,12,0.571,7,0.333,2,0.095,5,0.238,38,1.810,8
"Kite, Jerred",Fr.,2012-13,F,6-10,1,0,0,-,0,0,-,0,0,-,0,-,1,1.000,0,-,0,-,0,-,0
"Knowles, Zane",Jr.,2012-13,F,6-9,24,55,106,0.519,0,0,-,18,31,0.581,95,3.958,2,0.083,20,0.833,6,0.250,128,5.333,19
"Kocher, Jake",So.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Martinez, Cole",Fr.,2012-13,G,6-2,22,12,43,0.279,9,37,0.243,9,11,0.818,10,0.455,5,0.227,0,-,7,0.318,42,1.909,7
"Maxey, Nate",So.,2012-13,F,6-11,28,59,84,0.702,0,0,-,8,17,0.471,81,2.893,2,0.071,57,2.036,7,0.250,126,4.500,17
"Nelson, William",Jr.,2012-13,F,6-6,28,131,349,0.375,36,130,0.277,82,121,0.678,211,7.536,27,0.964,4,0.143,18,0.643,380,13.571,80
"Pye, Brandon",Fr.,2012-13,G,6-1,29,43,115,0.374,23,69,0.333,10,13,0.769,33,1.138,13,0.448,0,-,16,0.552,119,4.103,8
"Wang, Ted",Jr.,2012-13,C,7-0,4,1,1,1.000,0,0,-,0,0,-,0,-,0,-,1,0.250,0,-,2,0.500,1
"Williamson, Joy",Jr.,2012-13,G,6-4,26,74,198,0.374,24,69,0.348,45,67,0.672,104,4.000,32,1.231,4,0.154,34,1.308,217,8.346,49
