name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Broekhuis, Taylor",Sr.,2012-13,C,6-10,32,107,188,0.569,14,40,0.350,39,63,0.619,125,3.906,40,1.250,29,0.906,19,0.594,267,8.344,47
"Coggins, Tre'",Fr.,2012-13,G,6-2,31,24,64,0.375,11,36,0.306,14,19,0.737,44,1.419,34,1.097,0,-,19,0.613,73,2.355,27
"Earls, Delovell",So.,2012-13,F,6-5,32,48,116,0.414,10,26,0.385,20,38,0.526,98,3.063,47,1.469,2,0.063,15,0.469,126,3.938,43
"Fitzgerald, Mike",Sr.,2012-13,F,6-6,32,101,211,0.479,38,98,0.388,77,92,0.837,127,3.969,54,1.688,4,0.125,25,0.781,317,9.906,44
"Fletcher, Todd",Sr.,2012-13,G,6-2,32,113,236,0.479,57,128,0.445,21,31,0.677,94,2.938,117,3.656,1,0.031,35,1.094,304,9.500,39
"Green, Kyle",Sr.,2012-13,G,6-2,32,52,142,0.366,34,95,0.358,36,44,0.818,51,1.594,50,1.563,1,0.031,19,0.594,174,5.438,39
"Hammonds, Justin",So.,2012-13,F,6-6,22,18,33,0.545,1,4,0.250,24,36,0.667,33,1.500,12,0.545,2,0.091,12,0.545,61,2.773,10
"Kammerer, Chase",Jr.,2012-13,F,6-8,14,4,10,0.400,0,2,0.000,3,6,0.500,6,0.429,5,0.357,0,-,0,-,11,0.786,2
"Lyons, Michael",Sr.,2012-13,G,6-5,30,191,405,0.472,52,161,0.323,96,133,0.722,118,3.933,69,2.300,4,0.133,30,1.000,530,17.667,56
"Michael, Ethan",So.,2012-13,F,6-8,8,3,7,0.429,0,0,-,5,10,0.500,9,1.125,7,0.875,0,-,2,0.250,11,1.375,4
"Michael, Cameron",Fr.,2012-13,G,6-5,21,31,58,0.534,18,40,0.450,6,9,0.667,30,1.429,16,0.762,0,-,6,0.286,86,4.095,7
"Moer, Zach",Fr.,2012-13,C,6-10,6,2,3,0.667,1,1,1.000,0,0,-,2,0.333,0,-,2,0.333,0,-,5,0.833,0
"Olesinski, Marek",So.,2012-13,F,6-8,31,40,84,0.476,25,51,0.490,2,4,0.500,51,1.645,14,0.452,1,0.032,6,0.194,107,3.452,19
"Williams, Kamryn",So.,2012-13,F,6-4,30,36,76,0.474,4,9,0.444,24,34,0.706,72,2.400,28,0.933,8,0.267,14,0.467,100,3.333,21
"Yon, Max",So.,2012-13,G,6-4,26,25,57,0.439,7,21,0.333,12,12,1.000,29,1.115,15,0.577,1,0.038,4,0.154,69,2.654,15
