name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abreu, Alex",Jr.,2012-13,G,5-11,29,92,226,0.407,50,127,0.394,64,79,0.810,72,2.483,173,5.966,3,0.103,34,1.172,298,10.276,85
"Avsec, Luke",Jr.,2012-13,G,5-10,7,0,1,0.000,0,1,0.000,0,0,-,2,0.286,2,0.286,0,-,0,-,0,-,3
"Betancourt, Carmelo",Fr.,2012-13,G,5-11,33,26,68,0.382,2,17,0.118,12,23,0.522,30,0.909,53,1.606,1,0.030,14,0.424,66,2.000,61
"Egner, Josh",So.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Forsythe, Pat",Fr.,2012-13,C,6-11,33,45,89,0.506,0,0,-,23,43,0.535,90,2.727,10,0.303,25,0.758,8,0.242,113,3.424,36
"Gilliam, Chauncey",Sr.,2012-13,F,6-5,30,59,148,0.399,27,86,0.314,17,23,0.739,50,1.667,20,0.667,1,0.033,17,0.567,162,5.400,17
"Harney, Nick",Jr.,2012-13,F,6-7,30,107,226,0.473,12,51,0.235,60,89,0.674,115,3.833,37,1.233,10,0.333,23,0.767,286,9.533,58
"Hoisten, Darius",Fr.,2012-13,G,6-5,5,0,2,0.000,0,1,0.000,2,2,1.000,4,0.800,0,-,0,-,0,-,2,0.400,0
"Ibitayo, Deji",So.,2012-13,G,6-3,29,28,85,0.329,10,43,0.233,20,34,0.588,51,1.759,19,0.655,3,0.103,8,0.276,86,2.966,18
"Justice, Blake",Fr.,2012-13,G,6-3,6,0,8,0.000,0,8,0.000,2,2,1.000,2,0.333,2,0.333,0,-,0,-,2,0.333,1
"Kretzer, Jake",Fr.,2012-13,F,6-7,33,64,167,0.383,46,135,0.341,15,18,0.833,105,3.182,33,1.000,2,0.061,29,0.879,189,5.727,30
"Marshall, Zeke",Sr.,2012-13,C,7-0,33,153,235,0.651,2,3,0.667,120,187,0.642,231,7.000,25,0.758,122,3.697,21,0.636,428,12.970,45
"McAdams, Reggie",Fr.,2012-13,F,6-7,32,48,123,0.390,37,100,0.370,14,24,0.583,42,1.313,12,0.375,7,0.219,14,0.438,147,4.594,8
"Stalyga, Jonas",So.,2012-13,F,6-8,5,5,10,0.500,3,6,0.500,1,5,0.200,2,0.400,0,-,0,-,0,-,14,2.800,0
"Treadwell, Demetrius Tree",Jr.,2012-13,F,6-7,30,146,286,0.510,0,0,-,53,106,0.500,237,7.900,48,1.600,11,0.367,26,0.867,345,11.500,66
"Walsh, Brian",Sr.,2012-13,G,6-5,32,79,200,0.395,40,111,0.360,33,43,0.767,113,3.531,51,1.594,4,0.125,37,1.156,231,7.219,21
