name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brown, K.J.",Jr.,2012-13,G,6-1,9,11,36,0.306,4,19,0.211,20,30,0.667,15,1.667,8,0.889,0,-,10,1.111,46,5.111,11
"Brown, Roland",Jr.,2012-13,F,6-8,29,61,158,0.386,0,2,0.000,39,68,0.574,123,4.241,10,0.345,16,0.552,13,0.448,161,5.552,47
"Freeman, Brian",Jr.,2012-13,F,6-8,25,47,97,0.485,0,0,-,17,28,0.607,72,2.880,5,0.200,26,1.040,6,0.240,111,4.440,34
"Gray, Jimmy",Sr.,2012-13,G,6-0,30,112,306,0.366,67,215,0.312,24,30,0.800,100,3.333,99,3.300,4,0.133,42,1.400,315,10.500,98
"Horn, Mike",Sr.,2012-13,G,6-0,27,7,44,0.159,3,25,0.120,4,10,0.400,45,1.667,12,0.444,1,0.037,23,0.852,21,0.778,9
"Johnston, Taylor",Sr.,2012-13,F,6-7,28,57,155,0.368,43,119,0.361,15,21,0.714,71,2.536,15,0.536,2,0.071,19,0.679,172,6.143,49
"Mansell, Robert",Jr.,2012-13,G,6-4,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Moquete, Rayner",Jr.,2012-13,G,6-1,16,48,129,0.372,26,73,0.356,16,23,0.696,41,2.563,23,1.438,1,0.063,15,0.938,138,8.625,24
"Ogundadegbe, Alex",Jr.,2012-13,F,6-8,26,21,52,0.404,0,0,-,20,28,0.714,46,1.769,8,0.308,3,0.115,5,0.192,62,2.385,11
"Ralling, Javon",Sr.,2012-13,F,6-5,25,32,84,0.381,0,1,0.000,37,65,0.569,79,3.160,11,0.440,0,-,5,0.200,101,4.040,30
"Reed, Jordan",Fr.,2012-13,G,6-4,28,165,422,0.391,7,51,0.137,129,194,0.665,266,9.500,40,1.429,17,0.607,27,0.964,466,16.643,96
"Rice, Chris",So.,2012-13,G,6-3,22,2,15,0.133,2,11,0.182,6,8,0.750,4,0.182,3,0.136,0,-,0,-,12,0.545,5
"Waller, Karon",Fr.,2012-13,G,6-4,24,14,55,0.255,3,20,0.150,17,28,0.607,45,1.875,11,0.458,0,-,6,0.250,48,2.000,27
"Williams, Jabrille",So.,2012-13,F,6-6,25,11,27,0.407,1,10,0.100,0,0,-,36,1.440,2,0.080,4,0.160,2,0.080,23,0.920,11
