name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abaekobe, Ronell",Fr.,2012-13,F,6-4,7,1,1,1.000,0,0,-,2,4,0.500,0,-,0,-,0,-,0,-,4,0.571,0
"Brandon, Jared",Fr.,2012-13,G,6-4,32,91,165,0.552,8,29,0.276,30,42,0.714,130,4.063,47,1.469,3,0.094,27,0.844,220,6.875,41
"Collins, Chris",So.,2012-13,G,6-4,19,11,32,0.344,0,4,0.000,7,20,0.350,20,1.053,7,0.368,1,0.053,6,0.316,29,1.526,7
"Douglas, James",So.,2012-13,G,6-0,32,32,86,0.372,14,48,0.292,16,22,0.727,53,1.656,35,1.094,2,0.063,15,0.469,94,2.938,32
"Gee, Mike",Jr.,2012-13,G,6-0,6,1,2,0.500,1,1,1.000,0,0,-,3,0.500,0,-,0,-,0,-,3,0.500,0
"Harris, Alex",So.,2012-13,G,6-1,32,116,282,0.411,55,162,0.340,48,68,0.706,136,4.250,79,2.469,7,0.219,55,1.719,335,10.469,40
"Horne, Marquis",Jr.,2012-13,F,6-6,6,15,31,0.484,1,6,0.167,7,11,0.636,26,4.333,2,0.333,3,0.500,5,0.833,38,6.333,10
"Johnson, Deuce",Jr.,2012-13,F,6-7,32,81,128,0.633,0,0,-,40,59,0.678,95,2.969,4,0.125,11,0.344,9,0.281,202,6.313,26
"Knox, Jordan",Sr.,2012-13,G,6-0,18,16,31,0.516,8,19,0.421,3,5,0.600,16,0.889,16,0.889,1,0.056,5,0.278,43,2.389,7
"McClellan, Steven",Jr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nelson, Darius",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Seeley, D.J.",Sr.,2012-13,G,6-4,28,166,352,0.472,63,153,0.412,105,130,0.808,121,4.321,108,3.857,8,0.286,56,2.000,500,17.857,75
"Underwood, John",Sr.,2012-13,C,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vaughn, Kwame",Sr.,2012-13,G,6-3,32,179,399,0.449,50,134,0.373,180,215,0.837,148,4.625,119,3.719,7,0.219,49,1.531,588,18.375,98
"Williams, Michael",Sr.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Yeager, Sammy",Sr.,2012-13,F,6-4,25,146,310,0.471,66,148,0.446,37,51,0.725,111,4.440,55,2.200,9,0.360,21,0.840,395,15.800,58
