name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Clark, Ian",Jr.,2012-13,G,5-8,14,4,9,0.444,2,6,0.333,3,5,0.600,5,0.357,5,0.357,0,-,4,0.286,13,0.929,7
"Cooksey, Grey",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Drew, Landon",Fr.,2012-13,G,6-1,30,62,160,0.388,26,67,0.388,23,31,0.742,47,1.567,114,3.800,2,0.067,10,0.333,173,5.767,50
"Godfrey, Ishmael",So.,2012-13,G,5-11,3,0,0,-,0,0,-,0,0,-,0,-,2,0.667,0,-,0,-,0,-,0
"Greene, Josh",Jr.,2012-13,G,6-0,30,125,326,0.383,63,164,0.384,121,141,0.858,83,2.767,112,3.733,4,0.133,51,1.700,434,14.467,64
"Guei, Allan",So.,2012-13,G,5-9,30,58,150,0.387,16,32,0.500,24,36,0.667,49,1.633,66,2.200,4,0.133,26,0.867,156,5.200,37
"Hale-Edmerson, Tre",Fr.,2012-13,F,6-9,31,60,122,0.492,0,15,0.000,30,42,0.714,130,4.194,50,1.613,30,0.968,26,0.839,150,4.839,48
"Hicks, Stephan",So.,2012-13,G,6-5,27,142,299,0.475,17,51,0.333,124,155,0.800,189,7.000,26,0.963,8,0.296,53,1.963,425,15.741,55
"Ilyayev, Ilya",Fr.,2012-13,F,6-5,12,2,5,0.400,2,4,0.500,0,2,0.000,6,0.500,0,-,0,-,0,-,6,0.500,2
"Johnson, Donovan",Fr.,2012-13,G,6-3,29,31,108,0.287,11,50,0.220,26,36,0.722,23,0.793,17,0.586,2,0.069,20,0.690,99,3.414,26
"Maxwell, Stephen",So.,2012-13,F,6-7,31,173,311,0.556,0,0,-,108,149,0.725,257,8.290,16,0.516,10,0.323,30,0.968,454,14.645,53
"Mitchell, Jordan",Jr.,2012-13,F,6-9,6,1,2,0.500,0,0,-,0,0,-,7,1.167,0,-,0,-,0,-,2,0.333,2
"Perry, Brandon",Fr.,2012-13,C,6-7,29,64,134,0.478,0,0,-,54,99,0.545,102,3.517,12,0.414,19,0.655,12,0.414,182,6.276,30
"Tilford, Morgan",So.,2012-13,F,6-7,15,8,18,0.444,0,0,-,4,9,0.444,27,1.800,2,0.133,2,0.133,6,0.400,20,1.333,6
"Watson, Lonnie",So.,2012-13,G,6-4,19,14,39,0.359,7,22,0.318,5,7,0.714,19,1.000,9,0.474,2,0.105,9,0.474,40,2.105,3
"Williams, Trevone",Fr.,2012-13,F,6-6,31,74,193,0.383,19,74,0.257,12,17,0.706,109,3.516,43,1.387,13,0.419,15,0.484,179,5.774,36
"Yeargin, Justin",So.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
