name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allen, Terrell",Jr.,2012-13,F,6-6,30,70,146,0.479,14,40,0.350,31,42,0.738,118,3.933,25,0.833,18,0.600,11,0.367,185,6.167,25
"Andrade, Greg",So.,2012-13,G,6-0,9,1,5,0.200,1,4,0.250,1,2,0.500,2,0.222,2,0.222,0,-,0,-,4,0.444,0
"Burbage, Adonis",So.,2012-13,F,6-5,26,88,230,0.383,55,151,0.364,37,46,0.804,80,3.077,25,0.962,5,0.192,15,0.577,268,10.308,30
"Cumberlander, Khalen",Fr.,2012-13,G,6-3,1,0,1,0.000,0,1,0.000,2,2,1.000,0,-,0,-,0,-,0,-,2,2.000,1
"Efese, Joe",Sr.,2012-13,F,6-6,30,93,158,0.589,0,0,-,29,48,0.604,118,3.933,11,0.367,47,1.567,14,0.467,215,7.167,37
"Hunter, Matt",Jr.,2012-13,G,6-5,30,168,425,0.395,38,119,0.319,98,133,0.737,232,7.733,78,2.600,28,0.933,78,2.600,472,15.733,102
"Hurd, Andrew",Fr.,2012-13,G,5-10,20,4,14,0.286,3,13,0.231,3,4,0.750,10,0.500,3,0.150,0,-,4,0.200,14,0.700,3
"McMillan, Malcolm",So.,2012-13,G,6-0,30,83,199,0.417,21,55,0.382,59,84,0.702,128,4.267,106,3.533,10,0.333,46,1.533,246,8.200,42
"Mickell, Shelton",So.,2012-13,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Peel, Brandon",Fr.,2012-13,F,6-7,28,46,91,0.505,0,0,-,32,51,0.627,155,5.536,15,0.536,18,0.643,15,0.536,124,4.429,32
"Raleigh, Erik",So.,2012-13,F,6-8,9,3,6,0.500,0,0,-,1,2,0.500,2,0.222,0,-,0,-,0,-,7,0.778,0
"Speech, De'Angelo",Jr.,2012-13,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vinales, Kyle",So.,2012-13,G,6-1,30,229,557,0.411,80,219,0.365,111,138,0.804,61,2.033,113,3.767,4,0.133,42,1.400,649,21.633,100
