name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baker, Drew",Jr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bareika, Martynas",So.,2012-13,G,6-4,32,37,101,0.366,11,36,0.306,17,25,0.680,77,2.406,25,0.781,0,-,14,0.438,102,3.188,48
"Bran, Alex",Fr.,2012-13,G,6-1,19,21,49,0.429,9,24,0.375,9,10,0.900,13,0.684,9,0.474,0,-,7,0.368,60,3.158,19
"Bryant, Jared",So.,2012-13,F,6-7,31,25,50,0.500,0,0,-,25,46,0.543,69,2.226,8,0.258,1,0.032,8,0.258,75,2.419,25
"Cobb, Farad",Fr.,2012-13,G,6-0,26,53,168,0.315,25,99,0.253,16,23,0.696,59,2.269,43,1.654,0,-,23,0.885,147,5.654,28
"Hampton, Dontay",Sr.,2012-13,G,6-1,5,13,34,0.382,10,20,0.500,13,15,0.867,19,3.800,10,2.000,0,-,5,1.000,49,9.800,9
"Jones, Casey",Fr.,2012-13,G,6-5,18,38,95,0.400,2,11,0.182,18,35,0.514,65,3.611,24,1.333,3,0.167,14,0.778,96,5.333,42
"Mason, Z.",Jr.,2012-13,F,6-5,32,173,354,0.489,24,76,0.316,107,149,0.718,243,7.594,22,0.688,29,0.906,29,0.906,477,14.906,52
"McGhee, Gee",Fr.,2012-13,G,6-5,32,114,287,0.397,38,125,0.304,120,196,0.612,121,3.781,74,2.313,7,0.219,43,1.344,386,12.063,47
"Robertson, Eric",Fr.,2012-13,G,6-4,32,37,105,0.352,15,51,0.294,15,22,0.682,41,1.281,23,0.719,6,0.188,15,0.469,104,3.250,14
"Stokes, Lance",So.,2012-13,F,6-6,18,20,45,0.444,0,0,-,13,35,0.371,37,2.056,16,0.889,1,0.056,15,0.833,53,2.944,21
"Watson, Sam",Jr.,2012-13,F,6-7,32,30,57,0.526,0,3,0.000,21,34,0.618,92,2.875,13,0.406,9,0.281,5,0.156,81,2.531,26
"White, Ronrico",So.,2012-13,G,6-3,32,85,243,0.350,33,116,0.284,123,149,0.826,113,3.531,97,3.031,1,0.031,34,1.063,326,10.188,69
"Zlovaric, Drazen",Sr.,2012-13,F,6-9,32,116,234,0.496,0,0,-,30,54,0.556,148,4.625,15,0.469,8,0.250,8,0.250,262,8.188,41
