name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Adams, Jeremy",Jr.,2012-13,G,6-5,30,25,64,0.391,10,19,0.526,19,33,0.576,42,1.400,6,0.200,1,0.033,8,0.267,79,2.633,18
"Booker, Askia",So.,2012-13,G,6-1,33,152,418,0.364,49,157,0.312,57,81,0.704,116,3.515,71,2.152,0,-,40,1.212,410,12.424,69
"Chen, Sabatino",Sr.,2012-13,G,6-4,33,54,131,0.412,14,47,0.298,24,38,0.632,73,2.212,43,1.303,3,0.091,28,0.848,146,4.424,37
"Dinwiddie, Spencer",So.,2012-13,G,6-5,33,130,313,0.415,47,139,0.338,198,240,0.825,105,3.182,99,3.000,16,0.485,44,1.333,505,15.303,73
"Gamble, Beau",Jr.,2012-13,G,6-0,5,3,9,0.333,1,5,0.200,0,0,-,3,0.600,2,0.400,0,-,1,0.200,7,1.400,0
"Gordon, Wesley",Fr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Harris-Tunks, Shane",Jr.,2012-13,C,6-11,32,16,44,0.364,0,1,0.000,11,24,0.458,50,1.563,4,0.125,3,0.094,5,0.156,43,1.344,23
"Jenkins, Chris",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnson, Xavier",Fr.,2012-13,F,6-6,33,105,204,0.515,25,57,0.439,60,107,0.561,159,4.818,12,0.364,15,0.455,9,0.273,295,8.939,58
"Mills, Ben",Jr.,2012-13,C,7-0,7,3,5,0.600,0,0,-,1,2,0.500,12,1.714,1,0.143,0,-,1,0.143,7,1.000,2
"Nelson, Kevin",Jr.,2012-13,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Roberson, Andre",Jr.,2012-13,G,6-7,31,132,275,0.480,19,58,0.328,54,98,0.551,347,11.194,44,1.419,41,1.323,67,2.161,337,10.871,74
"Scott, Josh",Fr.,2012-13,F,6-10,31,124,255,0.486,1,1,1.000,68,91,0.747,178,5.742,19,0.613,24,0.774,14,0.452,317,10.226,36
"Stalzer, Eli",Fr.,2012-13,G,6-3,25,12,31,0.387,6,21,0.286,6,9,0.667,21,0.840,12,0.480,2,0.080,6,0.240,36,1.440,21
"Talton, Xavier",Fr.,2012-13,G,6-1,32,19,39,0.487,6,12,0.500,4,9,0.444,22,0.688,15,0.469,0,-,7,0.219,48,1.500,16
