name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Archie, II, Mason",So.,2012-13,G,6-4,14,2,13,0.154,1,3,0.333,5,6,0.833,6,0.429,3,0.214,0,-,1,0.071,10,0.714,7
"Barham, Jordan",Fr.,2012-13,G,6-4,26,21,36,0.583,0,4,0.000,14,20,0.700,36,1.385,2,0.077,1,0.038,3,0.115,56,2.154,8
"Belford, Jake",Fr.,2012-13,F,6-9,20,5,16,0.313,0,2,0.000,4,7,0.571,12,0.600,3,0.150,2,0.100,0,-,14,0.700,9
"Brooks, De'Mon",Jr.,2012-13,F,6-7,34,170,340,0.500,9,41,0.220,118,158,0.747,211,6.206,26,0.765,21,0.618,30,0.882,467,13.735,66
"Cochran, Nik",Sr.,2012-13,G,6-3,34,85,174,0.489,50,102,0.490,116,124,0.935,82,2.412,113,3.324,0,-,27,0.794,336,9.882,64
"Cohen, Jake",Sr.,2012-13,F,6-10,34,171,344,0.497,38,98,0.388,128,154,0.831,181,5.324,51,1.500,56,1.647,23,0.676,508,14.941,59
"Czerapowicz, Chris",Jr.,2012-13,G,6-7,34,115,267,0.431,60,154,0.390,19,24,0.792,170,5.000,18,0.529,6,0.176,13,0.382,309,9.088,18
"Droney, Tom",Jr.,2012-13,G,6-6,34,49,109,0.450,8,43,0.186,38,45,0.844,100,2.941,72,2.118,3,0.088,21,0.618,144,4.235,26
"Kalinoski, Tyler",So.,2012-13,G,6-4,34,85,202,0.421,55,151,0.364,34,47,0.723,95,2.794,55,1.618,0,-,25,0.735,259,7.618,36
"Kuhlman, Jp",Sr.,2012-13,G,6-4,31,84,189,0.444,26,73,0.356,53,74,0.716,84,2.710,112,3.613,0,-,27,0.871,247,7.968,48
"Mackay, Ali",So.,2012-13,F,6-11,19,3,6,0.500,0,2,0.000,1,3,0.333,9,0.474,1,0.053,2,0.105,0,-,7,0.368,1
"Mann, Clint",Sr.,2012-13,F,6-7,18,45,110,0.409,9,20,0.450,25,35,0.714,52,2.889,16,0.889,9,0.500,16,0.889,124,6.889,21
"Mejri, Youssef",So.,2012-13,F,6-7,13,1,2,0.500,0,1,0.000,2,2,1.000,4,0.308,0,-,1,0.077,1,0.077,4,0.308,0
"Perkey, Connor",Fr.,2012-13,F,6-8,10,1,1,1.000,0,0,-,2,2,1.000,4,0.400,0,-,0,-,1,0.100,4,0.400,0
"Sullivan, Brian",So.,2012-13,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tormey, Clay",Jr.,2012-13,G,5-11,14,0,4,0.000,0,0,-,1,3,0.333,3,0.214,1,0.071,0,-,1,0.071,1,0.071,3
