name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Clahar, Worrel",Sr.,2012-13,G,5-11,32,80,196,0.408,20,75,0.267,54,75,0.720,111,3.469,106,3.313,4,0.125,42,1.313,234,7.313,68
"Clemons, Montray",Fr.,2012-13,F,6-7,19,10,20,0.500,0,1,0.000,5,7,0.714,21,1.105,1,0.053,3,0.158,0,-,25,1.316,11
"Crockett, Jamee",So.,2012-13,F,6-4,28,85,228,0.373,25,94,0.266,48,68,0.706,101,3.607,35,1.250,10,0.357,29,1.036,243,8.679,40
"Dolins, Cory",Fr.,2012-13,G,6-0,9,0,1,0.000,0,0,-,0,0,-,0,-,3,0.333,0,-,0,-,0,-,2
"Kirk, Donnavan",Jr.,2012-13,F,6-9,31,78,159,0.491,12,31,0.387,24,34,0.706,121,3.903,14,0.452,50,1.613,11,0.355,192,6.194,23
"McDonald, Durrell",Fr.,2012-13,G,6-1,32,39,89,0.438,10,25,0.400,5,10,0.500,30,0.938,22,0.688,1,0.031,20,0.625,93,2.906,38
"McGhee, Edwind",Jr.,2012-13,G,6-3,18,4,19,0.211,2,11,0.182,7,9,0.778,19,1.056,10,0.556,0,-,11,0.611,17,0.944,5
"McKinney, Charles",So.,2012-13,G,6-3,30,62,125,0.496,6,17,0.353,29,46,0.630,74,2.467,44,1.467,6,0.200,34,1.133,159,5.300,45
"Melvin, Cleveland",Jr.,2012-13,F,6-8,32,216,451,0.479,15,51,0.294,84,124,0.677,217,6.781,25,0.781,26,0.813,39,1.219,531,16.594,72
"Morgan, Moses",Jr.,2012-13,F,6-6,29,59,182,0.324,32,105,0.305,22,30,0.733,66,2.276,29,1.000,10,0.345,18,0.621,172,5.931,35
"Pirri, Stuart",Sr.,2012-13,F,6-8,9,1,2,0.500,1,2,0.500,0,0,-,1,0.111,0,-,0,-,0,-,3,0.333,0
"Price, Jodan",Fr.,2012-13,G,6-7,8,1,9,0.111,1,6,0.167,0,0,-,2,0.250,1,0.125,0,-,1,0.125,3,0.375,4
"Robertson, Derrell",So.,2012-13,C,6-10,32,24,47,0.511,0,1,0.000,12,17,0.706,82,2.563,2,0.063,17,0.531,7,0.219,60,1.875,18
"Ryckbosch, Peter",Fr.,2012-13,F,6-9,17,8,12,0.667,0,0,-,1,4,0.250,20,1.176,2,0.118,1,0.059,4,0.235,17,1.000,4
"Young, Brandon",Jr.,2012-13,G,6-4,32,180,411,0.438,31,99,0.313,144,194,0.742,107,3.344,146,4.563,5,0.156,49,1.531,535,16.719,86
