name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Antoine, Chandler",So.,2012-13,G,5-10,13,9,24,0.375,4,14,0.286,2,5,0.400,6,0.462,8,0.615,0,-,1,0.077,24,1.846,2
"Balkema, Matt",Sr.,2012-13,C,6-10,33,29,62,0.468,0,1,0.000,10,24,0.417,86,2.606,7,0.212,4,0.121,11,0.333,68,2.061,12
"Bryant, Glenn",Jr.,2012-13,C,6-8,34,143,339,0.422,9,51,0.176,66,102,0.647,154,4.529,19,0.559,44,1.294,31,0.912,361,10.618,57
"Harper, Austin",Jr.,2012-13,G,6-2,29,22,60,0.367,3,13,0.231,19,23,0.826,29,1.000,48,1.655,0,-,10,0.345,66,2.276,28
"Harris, Jamell",Sr.,2012-13,F,6-8,34,55,114,0.482,0,0,-,36,57,0.632,141,4.147,17,0.500,33,0.971,25,0.735,146,4.294,35
"Harrison, Daylen",Jr.,2012-13,G,6-6,34,106,264,0.402,25,72,0.347,65,77,0.844,163,4.794,47,1.382,14,0.412,37,1.088,302,8.882,77
"Lee, Ray",Fr.,2012-13,G,6-3,8,17,42,0.405,2,7,0.286,8,13,0.615,9,1.125,17,2.125,0,-,4,0.500,44,5.500,23
"Lyle, Josh",So.,2012-13,G,6-4,10,2,14,0.143,0,3,0.000,1,4,0.250,5,0.500,3,0.300,0,-,1,0.100,5,0.500,2
"Riley, Da'Shonte",Jr.,2012-13,C,7-0,34,55,112,0.491,0,0,-,26,54,0.481,208,6.118,25,0.735,67,1.971,34,1.000,136,4.000,49
"Ross, Jalen",Fr.,2012-13,G,5-11,34,53,154,0.344,21,60,0.350,31,51,0.608,53,1.559,77,2.265,1,0.029,26,0.765,158,4.647,78
"Sims, J.R.",Sr.,2012-13,G,6-3,34,68,186,0.366,29,80,0.363,32,49,0.653,51,1.500,40,1.176,1,0.029,49,1.441,197,5.794,43
"Still, James",Jr.,2012-13,F,6-10,2,3,7,0.429,0,0,-,0,0,-,7,3.500,0,-,0,-,1,0.500,6,3.000,2
"Strickland, Anthony",Jr.,2012-13,F,6-5,27,15,37,0.405,0,1,0.000,17,19,0.895,42,1.556,12,0.444,2,0.074,11,0.407,47,1.741,13
"Talley, Mike",Jr.,2012-13,G,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thompson, Derek",Sr.,2012-13,G,6-3,33,125,336,0.372,72,198,0.364,44,55,0.800,60,1.818,44,1.333,3,0.091,28,0.848,366,11.091,45
