name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Balentine, D.J.",Fr.,2012-13,G,6-2,36,110,276,0.399,53,146,0.363,18,27,0.667,62,1.722,69,1.917,6,0.167,14,0.389,291,8.083,41
"Cesnulevicius, Rokas",So.,2012-13,F,6-8,5,2,5,0.400,0,0,-,0,2,0.000,8,1.600,0,-,0,-,0,-,4,0.800,2
"Chinn, Andy",Sr.,2012-13,G,6-0,3,0,2,0.000,0,1,0.000,0,0,-,1,0.333,0,-,0,-,0,-,0,-,1
"Cox, Ned",Sr.,2012-13,G,6-1,35,135,325,0.415,57,142,0.401,52,62,0.839,68,1.943,106,3.029,6,0.171,26,0.743,379,10.829,42
"Howard, David",Fr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jahr, Jordan",So.,2012-13,G,6-6,20,26,75,0.347,7,37,0.189,15,18,0.833,49,2.450,16,0.800,3,0.150,8,0.400,74,3.700,12
"Jones, Lewis",Sr.,2012-13,G,6-3,35,78,194,0.402,8,27,0.296,51,80,0.638,84,2.400,38,1.086,3,0.086,18,0.514,215,6.143,37
"Leazer, Mike",Fr.,2012-13,G,6-3,2,0,0,-,0,0,-,0,0,-,2,1.000,0,-,0,-,1,0.500,0,-,0
"Mockevicius, Egidijus",Fr.,2012-13,C,6-10,36,81,128,0.633,0,0,-,46,65,0.708,181,5.028,8,0.222,64,1.778,14,0.389,208,5.778,38
"Moore, Jaylon",So.,2012-13,F,6-7,35,54,98,0.551,0,0,-,15,27,0.556,66,1.886,4,0.114,16,0.457,7,0.200,123,3.514,20
"Nelson, Jordan",So.,2012-13,G,6-0,27,20,53,0.377,13,38,0.342,7,7,1.000,13,0.481,13,0.481,0,-,2,0.074,60,2.222,4
"Ryan, Colt",Sr.,2012-13,G,6-5,34,219,517,0.424,63,160,0.394,184,206,0.893,121,3.559,137,4.029,2,0.059,50,1.471,685,20.147,74
"Sawvell, Ryan",So.,2012-13,F,6-8,35,51,100,0.510,1,2,0.500,19,30,0.633,102,2.914,11,0.314,1,0.029,11,0.314,122,3.486,18
"Taylor, Troy",Sr.,2012-13,G,6-0,36,92,200,0.460,0,0,-,64,105,0.610,250,6.944,140,3.889,3,0.083,48,1.333,248,6.889,77
"Williams, Brandon",Sr.,2012-13,G,6-0,4,0,2,0.000,0,1,0.000,0,0,-,0,-,1,0.250,0,-,0,-,0,-,0
"Wing, Adam",Fr.,2012-13,G,6-4,30,32,81,0.395,5,12,0.417,12,23,0.522,82,2.733,31,1.033,2,0.067,14,0.467,81,2.700,28
