name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Avent, Jr., Anthony",So.,2012-13,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bolding, Melquan",Sr.,2012-13,G,6-3,31,139,349,0.398,38,130,0.292,102,146,0.699,135,4.355,54,1.742,8,0.258,34,1.097,418,13.484,71
"Charles, Trevor",---,2012-13,-,-,10,20,32,0.625,0,0,-,10,17,0.588,19,1.900,1,0.100,9,0.900,0,-,50,5.000,13
"Cordero, Yosua",---,2012-13,-,-,4,1,3,0.333,0,0,-,0,0,-,2,0.500,0,-,0,-,0,-,2,0.500,1
"Harris, Sekou",---,2012-13,-,-,22,41,126,0.325,12,34,0.353,28,42,0.667,32,1.455,52,2.364,6,0.273,8,0.364,122,5.545,57
"Harris, Xavier",---,2012-13,-,-,29,49,101,0.485,0,0,-,20,40,0.500,97,3.345,12,0.414,12,0.414,5,0.172,118,4.069,40
"Hayes, Lonnie",Sr.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, Mustafaa",Jr.,2012-13,G,6-3,31,51,153,0.333,43,127,0.339,20,21,0.952,55,1.774,35,1.129,2,0.065,29,0.935,165,5.323,36
"Jules, Yves",Jr.,2012-13,G,6-2,13,43,96,0.448,12,32,0.375,12,21,0.571,11,0.846,9,0.692,1,0.077,8,0.615,110,8.462,25
"Larizza, Louis",Sr.,2012-13,G,5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Moody, Dylan",So.,2012-13,G,5-8,23,8,21,0.381,7,17,0.412,2,2,1.000,12,0.522,14,0.609,0,-,6,0.261,25,1.087,16
"Oyeniyi, Ayotunde",Jr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pearson, Kyle",---,2012-13,F,-,22,27,64,0.422,8,23,0.348,11,20,0.550,23,1.045,4,0.182,3,0.136,6,0.273,73,3.318,13
"Robinson, Lonnie",Sr.,2012-13,G,6-5,31,86,205,0.420,36,87,0.414,60,93,0.645,99,3.194,59,1.903,7,0.226,17,0.548,268,8.645,58
"Rochford, Kinu",Sr.,2012-13,F,6-6,27,164,277,0.592,0,0,-,68,101,0.673,241,8.926,53,1.963,36,1.333,19,0.704,396,14.667,74
"Sanders Jr, Sidney",---,2012-13,-,-,27,40,117,0.342,8,30,0.267,35,52,0.673,49,1.815,92,3.407,3,0.111,29,1.074,123,4.556,50
"Seilund, Mathias",Jr.,2012-13,F,6-7,28,55,131,0.420,26,63,0.413,28,35,0.800,66,2.357,19,0.679,14,0.500,18,0.643,164,5.857,19
