name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Boynton, Kenny",Sr.,2012-13,G,6-2,37,145,368,0.394,71,221,0.321,83,101,0.822,110,2.973,101,2.730,3,0.081,31,0.838,444,12.000,48
"Frazier, Michael",Fr.,2012-13,G,6-4,36,62,139,0.446,52,111,0.468,26,31,0.839,113,3.139,34,0.944,1,0.028,20,0.556,202,5.611,30
"Graham, Dillon",Fr.,2012-13,G,6-4,23,5,19,0.263,1,10,0.100,0,0,-,4,0.174,5,0.217,1,0.043,1,0.043,11,0.478,4
"Kurtz, Jacob",So.,2012-13,C,6-5,20,5,8,0.625,1,1,1.000,1,2,0.500,11,0.550,2,0.100,0,-,2,0.100,12,0.600,0
"Murphy, Erik",Sr.,2012-13,F,6-10,36,164,318,0.516,72,159,0.453,40,51,0.784,199,5.528,50,1.389,25,0.694,23,0.639,440,12.222,51
"Ogbueze, Braxton",Fr.,2012-13,G,6-0,23,7,22,0.318,1,5,0.200,4,11,0.364,13,0.565,7,0.304,0,-,4,0.174,19,0.826,10
"Prather, Casey",Jr.,2012-13,F,6-6,29,79,127,0.622,2,7,0.286,21,36,0.583,106,3.655,29,1.000,16,0.552,25,0.862,181,6.241,30
"Rosario, Mike",Sr.,2012-13,G,6-3,36,160,357,0.448,61,166,0.367,69,83,0.831,92,2.556,73,2.028,1,0.028,34,0.944,450,12.500,63
"Walker, Devon",Fr.,2012-13,F,6-6,25,4,22,0.182,1,7,0.143,11,14,0.786,17,0.680,2,0.080,4,0.160,2,0.080,20,0.800,3
"Wilbekin, Scottie",Jr.,2012-13,G,6-2,35,116,256,0.453,37,103,0.359,50,69,0.725,101,2.886,174,4.971,2,0.057,53,1.514,319,9.114,74
"Yeguete, Will",Jr.,2012-13,F,6-7,31,60,113,0.531,1,4,0.250,49,86,0.570,181,5.839,31,1.000,9,0.290,36,1.161,170,5.484,41
"Young, Patric",Jr.,2012-13,C,6-9,37,153,261,0.586,0,0,-,68,139,0.489,232,6.270,32,0.865,58,1.568,34,0.919,374,10.108,56
