name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bland, Pierre",Jr.,2012-13,G,6-2,33,40,94,0.426,3,11,0.273,15,34,0.441,90,2.727,97,2.939,2,0.061,30,0.909,98,2.970,55
"Calhoun, Brent",Fr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dunn, Will",Fr.,2012-13,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Edwards, Joseph",So.,2012-13,G,6-4,33,99,194,0.510,19,48,0.396,31,62,0.500,93,2.818,45,1.364,3,0.091,26,0.788,248,7.515,56
"Forbes, Steve",Jr.,2012-13,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gaines, Frank",Sr.,2012-13,G,6-3,32,198,457,0.433,55,160,0.344,181,245,0.739,129,4.031,38,1.188,16,0.500,44,1.375,632,19.750,79
"Graham, Herbert",Fr.,2012-13,G,6-4,12,13,28,0.464,9,24,0.375,5,6,0.833,12,1.000,4,0.333,0,-,5,0.417,40,3.333,4
"Harden, Kevin",Jr.,2012-13,G,6-2,12,30,86,0.349,7,23,0.304,8,19,0.421,59,4.917,16,1.333,0,-,12,1.000,75,6.250,28
"Hines, Mario",Sr.,2012-13,F,6-8,32,104,205,0.507,0,0,-,57,100,0.570,182,5.688,33,1.031,33,1.031,20,0.625,265,8.281,52
"Jacobo, Luis",Jr.,2012-13,F,6-5,33,134,319,0.420,68,176,0.386,40,56,0.714,138,4.182,47,1.424,8,0.242,30,0.909,376,11.394,67
"Jordan, Justin",Jr.,2012-13,G,5-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kibiloski, Michael",Jr.,2012-13,F,6-7,27,61,153,0.399,37,104,0.356,25,27,0.926,105,3.889,31,1.148,6,0.222,15,0.556,184,6.815,25
"McCray, Isaiah",So.,2012-13,G,6-0,33,46,134,0.343,22,63,0.349,36,67,0.537,108,3.273,82,2.485,8,0.242,44,1.333,150,4.545,55
"Onurah, Michael",So.,2012-13,G,6-2,1,0,0,-,0,0,-,0,0,-,1,1.000,0,-,0,-,0,-,0,-,1
"Reed, Joe",Fr.,2012-13,F,6-7,32,52,101,0.515,2,11,0.182,39,65,0.600,114,3.563,20,0.625,11,0.344,24,0.750,145,4.531,22
