name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baldwin, Sherrod",Sr.,2012-13,G,6-0,20,29,73,0.397,4,11,0.364,15,18,0.833,21,1.050,10,0.500,1,0.050,7,0.350,77,3.850,10
"Ezenwa, Nnamdi",Jr.,2012-13,F,6-6,29,23,66,0.348,2,13,0.154,19,39,0.487,78,2.690,13,0.448,7,0.241,16,0.552,67,2.310,27
"Hansen, Chris",So.,2012-13,F,6-4,30,104,286,0.364,69,186,0.371,65,80,0.813,106,3.533,33,1.100,9,0.300,39,1.300,342,11.400,29
"Harrington, Andy",So.,2012-13,G,6-2,2,0,0,-,0,0,-,0,0,-,0,-,1,0.500,0,-,0,-,0,-,0
"Hatchett, Andre'",Jr.,2012-13,G,6-4,28,92,204,0.451,4,20,0.200,69,126,0.548,132,4.714,46,1.643,2,0.071,24,0.857,257,9.179,53
"Hosman, Brian",Fr.,2012-13,G,6-4,3,0,0,-,0,0,-,0,0,-,2,0.667,0,-,0,-,0,-,0,-,1
"Jones, Grant",Fr.,2012-13,G,6-4,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Kostur, Dejan",Jr.,2012-13,F,6-8,16,5,17,0.294,1,2,0.500,2,4,0.500,11,0.688,0,-,1,0.063,2,0.125,13,0.813,4
"Kusmieruk, Jakub",Sr.,2012-13,C,7-4,17,15,22,0.682,0,0,-,9,17,0.529,25,1.471,0,-,10,0.588,0,-,39,2.294,6
"Martin, Travis",---,2012-13,-,-,1,1,2,0.500,1,1,1.000,0,0,-,0,-,0,-,0,-,2,2.000,3,3.000,0
"Mason, Nick",Jr.,2012-13,G,6-1,25,13,47,0.277,7,33,0.212,6,7,0.857,16,0.640,6,0.240,2,0.080,4,0.160,39,1.560,4
"Morgan, Melvin",Sr.,2012-13,G,5-11,30,122,345,0.354,42,154,0.273,75,96,0.781,103,3.433,73,2.433,1,0.033,40,1.333,361,12.033,95
"Preh, Ayibakuro",Jr.,2012-13,C,6-9,29,25,38,0.658,0,0,-,9,15,0.600,68,2.345,6,0.207,34,1.172,8,0.276,59,2.034,14
"Sanchez, Tomas",Jr.,2012-13,G,6-3,29,93,214,0.435,33,95,0.347,80,96,0.833,95,3.276,112,3.862,1,0.034,46,1.586,299,10.310,78
"Thomas, Clint",Fr.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Walters, Neveij",Sr.,2012-13,F,6-6,30,65,130,0.500,0,0,-,24,50,0.480,108,3.600,7,0.233,32,1.067,21,0.700,154,5.133,36
