name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abell, Remy",So.,2012-13,G,6-4,36,46,98,0.469,16,33,0.485,36,48,0.750,54,1.500,33,0.917,0,-,10,0.278,144,4.000,27
"Creek, Maurice",Jr.,2012-13,G,6-5,24,15,52,0.288,10,31,0.323,4,5,0.800,22,0.917,9,0.375,2,0.083,7,0.292,44,1.833,6
"Elston, Derek",Sr.,2012-13,F,6-9,19,6,21,0.286,2,9,0.222,7,10,0.700,16,0.842,4,0.211,4,0.211,4,0.211,21,1.105,7
"Etherington, Austin",So.,2012-13,F,6-6,7,4,7,0.571,1,3,0.333,4,7,0.571,12,1.714,3,0.429,1,0.143,2,0.286,13,1.857,5
"Ferrell, Kevin Yogi",Fr.,2012-13,G,6-0,36,91,226,0.403,23,76,0.303,67,84,0.798,100,2.778,147,4.083,6,0.167,28,0.778,272,7.556,75
"Hollowell, Jeremy",Fr.,2012-13,F,6-8,33,31,77,0.403,7,30,0.233,24,38,0.632,68,2.061,11,0.333,12,0.364,5,0.152,93,2.818,29
"Howard, Jeff",Jr.,2012-13,F,6-8,13,2,3,0.667,0,0,-,0,2,0.000,9,0.692,1,0.077,3,0.231,0,-,4,0.308,0
"Hulls, Jordan",Sr.,2012-13,G,6-0,36,115,259,0.444,80,180,0.444,38,49,0.776,84,2.333,107,2.972,1,0.028,30,0.833,348,9.667,43
"Jurkin, Peter",Fr.,2012-13,C,7-0,3,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Marlin, Jonny",So.,2012-13,G,5-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Mosquera-Perea, Hanner",Fr.,2012-13,F,6-8,20,5,13,0.385,0,0,-,7,17,0.412,29,1.450,2,0.100,5,0.250,3,0.150,17,0.850,8
"Oladipo, Victor",Jr.,2012-13,G,6-5,36,182,304,0.599,30,68,0.441,97,130,0.746,228,6.333,74,2.056,28,0.778,78,2.167,491,13.639,82
"Sheehey, Will",Jr.,2012-13,F,6-7,36,126,259,0.486,28,81,0.346,63,96,0.656,127,3.528,46,1.278,6,0.167,27,0.750,343,9.528,38
"Smith, Raphael",So.,2012-13,G,6-3,13,2,3,0.667,0,0,-,0,0,-,5,0.385,0,-,0,-,1,0.077,4,0.308,3
"Watford, Christian",Sr.,2012-13,F,6-9,36,127,294,0.432,60,124,0.484,129,159,0.811,225,6.250,31,0.861,17,0.472,23,0.639,443,12.306,58
"Wayer, Taylor",Jr.,2012-13,G,5-11,10,0,1,0.000,0,0,-,0,0,-,1,0.100,0,-,0,-,0,-,0,-,0
"Zeller, Cody",So.,2012-13,F,7-0,36,199,354,0.562,0,2,0.000,196,259,0.757,290,8.056,47,1.306,45,1.250,37,1.028,594,16.500,81
