name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Alex",Fr.,2012-13,G,5-11,26,11,32,0.344,5,12,0.417,5,6,0.833,9,0.346,14,0.538,0,-,4,0.154,32,1.231,19
"Boggs, Ronnie",Sr.,2012-13,G,6-3,28,126,263,0.479,25,72,0.347,39,64,0.609,165,5.893,64,2.286,18,0.643,54,1.929,316,11.286,50
"Clemmons, Terraes",Jr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cook, Nick",Jr.,2012-13,F,6-6,28,57,114,0.500,0,0,-,38,79,0.481,133,4.750,47,1.679,48,1.714,31,1.107,152,5.429,47
"Deanes, Chris",Fr.,2012-13,G,5-11,20,12,22,0.545,0,1,0.000,10,19,0.526,13,0.650,9,0.450,0,-,3,0.150,34,1.700,12
"Gaines, Tarvin",Sr.,2012-13,F,6-6,27,139,293,0.474,29,91,0.319,135,161,0.839,140,5.185,23,0.852,19,0.704,27,1.000,442,16.370,41
"Klaus, Gus",Fr.,2012-13,G,6-0,5,2,5,0.400,1,3,0.333,0,0,-,2,0.400,1,0.200,0,-,0,-,5,1.000,2
"Kuligoski, Joe",Fr.,2012-13,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Leggett, Mason",Sr.,2012-13,G,6-0,27,25,73,0.342,4,11,0.364,19,33,0.576,56,2.074,40,1.481,2,0.074,33,1.222,73,2.704,30
"Louder, Mike",Fr.,2012-13,F,6-9,6,4,9,0.444,0,0,-,3,4,0.750,4,0.667,0,-,0,-,0,-,11,1.833,1
"Mafra, Rinaldo",Sr.,2012-13,F,6-7,28,39,66,0.591,0,0,-,34,54,0.630,73,2.607,10,0.357,12,0.429,4,0.143,112,4.000,20
"Mcreynolds, Rod",Jr.,2012-13,G,5-10,4,1,2,0.500,0,0,-,1,1,1.000,1,0.250,2,0.500,0,-,1,0.250,3,0.750,2
"Moore, Darrius",Fr.,2012-13,F,6-8,8,0,2,0.000,0,0,-,2,2,1.000,10,1.250,2,0.250,1,0.125,0,-,2,0.250,1
"Rackley, Darion",So.,2012-13,G,6-2,18,65,158,0.411,31,80,0.388,86,116,0.741,40,2.222,27,1.500,8,0.444,29,1.611,247,13.722,54
"Sanders, Rico",Jr.,2012-13,G,6-2,14,18,43,0.419,11,28,0.393,6,8,0.750,9,0.643,4,0.286,1,0.071,6,0.429,53,3.786,8
"Smith, Giovanni",Jr.,2012-13,G,6-1,9,2,13,0.154,2,11,0.182,2,2,1.000,2,0.222,1,0.111,1,0.111,1,0.111,8,0.889,2
"Williams, Brian",Jr.,2012-13,G,6-1,28,136,338,0.402,51,141,0.362,44,76,0.579,67,2.393,119,4.250,6,0.214,44,1.571,367,13.107,66
