name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Beckham, Twany",Sr.,2012-13,G,6-5,5,1,3,0.333,0,0,-,0,1,0.000,2,0.400,2,0.400,1,0.200,1,0.200,2,0.400,1
"Cauley-Stein, Willie",Fr.,2012-13,F,7-0,29,105,169,0.621,0,0,-,32,86,0.372,179,6.172,27,0.931,60,2.069,24,0.828,242,8.345,48
"Goodwin, Archie",Fr.,2012-13,G,6-4,33,157,357,0.440,17,64,0.266,135,212,0.637,152,4.606,88,2.667,15,0.455,36,1.091,466,14.121,101
"Harrow, Ryan",So.,2012-13,G,6-2,29,110,266,0.414,21,71,0.296,46,65,0.708,82,2.828,82,2.828,4,0.138,21,0.724,287,9.897,48
"Hood, Jon",Jr.,2012-13,G,6-7,23,13,26,0.500,6,15,0.400,2,2,1.000,28,1.217,2,0.087,1,0.043,7,0.304,34,1.478,3
"Lanter, Tod",---,2012-13,-,-,6,0,3,0.000,0,2,0.000,0,0,-,2,0.333,0,-,0,-,0,-,0,-,2
"Long, Brian",So.,2012-13,G,5-9,3,0,3,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,1,0.333,0,-,0
"Malone, Sam",So.,2012-13,G,5-11,3,0,0,-,0,0,-,0,0,-,3,1.000,0,-,0,-,0,-,0,-,2
"Mays, Julius",Sr.,2012-13,G,6-2,33,93,247,0.377,65,175,0.371,55,65,0.846,97,2.939,95,2.879,0,-,14,0.424,306,9.273,38
"Noel, Nerlens",Fr.,2012-13,F,6-10,24,98,166,0.590,0,0,-,55,104,0.529,227,9.458,38,1.583,106,4.417,50,2.083,251,10.458,45
"Polson, Jarrod",Jr.,2012-13,G,6-2,33,36,68,0.529,6,21,0.286,23,32,0.719,55,1.667,35,1.061,2,0.061,10,0.303,101,3.061,25
"Poythress, Alex",Fr.,2012-13,F,6-7,33,133,229,0.581,14,33,0.424,91,132,0.689,199,6.030,22,0.667,14,0.424,9,0.273,371,11.242,66
"Wiltjer, Kyle",So.,2012-13,F,6-9,33,117,278,0.421,55,150,0.367,47,58,0.810,137,4.152,50,1.515,14,0.424,12,0.364,336,10.182,42
