name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bailey, B.J.",Jr.,2012-13,G,6-3,18,45,97,0.464,26,55,0.473,34,46,0.739,59,3.278,26,1.444,10,0.556,19,1.056,150,8.333,21
"Baltimore, Conroy",So.,2012-13,F,6-6,24,15,38,0.395,0,0,-,22,27,0.815,60,2.500,5,0.208,13,0.542,9,0.375,52,2.167,15
"Carter, Devon",Fr.,2012-13,G,6-4,9,1,7,0.143,1,1,1.000,2,4,0.500,3,0.333,2,0.222,0,-,0,-,5,0.556,2
"Chuku, Jesse",Fr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cvrkalj, Stefan",So.,2012-13,G,6-5,31,49,125,0.392,35,93,0.376,14,19,0.737,35,1.129,17,0.548,5,0.161,15,0.484,147,4.742,18
"D'Orazio, Anthony",Jr.,2012-13,G,6-2,31,77,191,0.403,29,83,0.349,15,27,0.556,115,3.710,45,1.452,7,0.226,40,1.290,198,6.387,20
"Goldsborough, Justin",Fr.,2012-13,F,6-8,31,30,58,0.517,0,0,-,15,28,0.536,65,2.097,7,0.226,18,0.581,6,0.194,75,2.419,16
"Goodman, Cory",Sr.,2012-13,G,6-1,16,4,8,0.500,2,5,0.400,1,2,0.500,3,0.188,5,0.313,0,-,0,-,11,0.688,3
"Greiner, Holden",Sr.,2012-13,F,6-8,31,151,302,0.500,45,104,0.433,62,82,0.756,209,6.742,59,1.903,25,0.806,40,1.290,409,13.194,51
"Knutson, Gabe",Sr.,2012-13,F,6-9,30,151,296,0.510,13,41,0.317,101,146,0.692,130,4.333,32,1.067,11,0.367,13,0.433,416,13.867,39
"McCollum, C.J.",Sr.,2012-13,G,6-3,12,96,194,0.495,33,64,0.516,62,73,0.849,60,5.000,35,2.917,4,0.333,17,1.417,287,23.917,32
"McKnight, Mackey",Jr.,2012-13,G,6-0,31,117,273,0.429,32,104,0.308,104,132,0.788,111,3.581,153,4.935,9,0.290,40,1.290,370,11.935,93
"Schaefer, Corey",So.,2012-13,G,6-1,31,51,112,0.455,19,48,0.396,22,29,0.759,53,1.710,66,2.129,3,0.097,20,0.645,143,4.613,24
"Staggers, Tyrone",So.,2012-13,F,6-5,9,1,4,0.250,0,2,0.000,1,2,0.500,2,0.222,1,0.111,0,-,0,-,3,0.333,1
