name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Averkamp, Ben",Sr.,2012-13,F,6-8,25,126,269,0.468,12,41,0.293,107,129,0.829,162,6.480,43,1.720,29,1.160,18,0.720,371,14.840,54
"Boone, Derrick",Jr.,2012-13,G,6-3,4,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Clark, Bill",Jr.,2012-13,G,6-4,11,1,4,0.250,0,2,0.000,2,4,0.500,3,0.273,0,-,0,-,1,0.091,4,0.364,2
"Crisman, Joe",So.,2012-13,G,6-4,26,44,100,0.440,12,34,0.353,27,37,0.730,80,3.077,48,1.846,7,0.269,17,0.654,127,4.885,24
"Dokubo, London",So.,2012-13,G,6-0,19,3,6,0.500,0,3,0.000,0,2,0.000,7,0.368,11,0.579,0,-,2,0.105,6,0.316,7
"Doyle, Milton",Fr.,2012-13,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hicks, Jordan",Sr.,2012-13,G,6-6,31,106,204,0.520,35,84,0.417,31,46,0.674,143,4.613,48,1.548,13,0.419,25,0.806,278,8.968,59
"King, Jeremy",Fr.,2012-13,C,6-10,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"O'Leary, Matt",Fr.,2012-13,F,6-8,30,44,117,0.376,14,56,0.250,13,18,0.722,68,2.267,39,1.300,12,0.400,9,0.300,115,3.833,28
"Osborne, Nick",Fr.,2012-13,F,6-8,31,36,85,0.424,3,14,0.214,8,20,0.400,67,2.161,8,0.258,8,0.258,6,0.194,83,2.677,18
"Payne, Cully",Sr.,2012-13,G,6-1,25,55,165,0.333,32,92,0.348,56,70,0.800,47,1.880,105,4.200,0,-,25,1.000,198,7.920,76
"Thomas, Christian",So.,2012-13,F,6-5,31,136,242,0.562,2,3,0.667,102,154,0.662,202,6.516,25,0.806,2,0.065,22,0.710,376,12.129,37
"Turk, Devon",Fr.,2012-13,G,6-4,31,90,225,0.400,65,150,0.433,25,31,0.806,55,1.774,23,0.742,9,0.290,12,0.387,270,8.710,40
"White, Jeff",Fr.,2012-13,G,6-1,28,58,153,0.379,9,25,0.360,22,35,0.629,67,2.393,76,2.714,3,0.107,18,0.643,147,5.250,50
"Williams, Tanner",Fr.,2012-13,F,6-7,3,9,14,0.643,0,0,-,2,4,0.500,7,2.333,4,1.333,0,-,2,0.667,20,6.667,2
"Williams, Kody",Jr.,2012-13,G,6-2,3,0,1,0.000,0,0,-,0,0,-,1,0.333,0,-,0,-,0,-,0,-,1
