name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Amayo, Kelvin",Fr.,2012-13,G,6-4,3,3,7,0.429,0,1,0.000,2,9,0.222,1,0.333,4,1.333,0,-,3,1.000,8,2.667,3
"Boykins, Devince",Fr.,2012-13,G,6-4,22,5,27,0.185,2,18,0.111,2,6,0.333,20,0.909,7,0.318,0,-,9,0.409,14,0.636,12
"Canty, Kareem",Fr.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Goard, Tyquane",So.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Goff, Robert",Sr.,2012-13,F,6-9,29,59,118,0.500,0,3,0.000,21,53,0.396,104,3.586,14,0.483,21,0.724,13,0.448,139,4.793,34
"Hanner, Jamir",So.,2012-13,C,6-8,25,33,57,0.579,3,6,0.500,20,34,0.588,62,2.480,11,0.440,6,0.240,9,0.360,89,3.560,18
"Kambola, JP",So.,2012-13,C,6-9,11,3,5,0.600,0,0,-,2,8,0.250,9,0.818,0,-,3,0.273,2,0.182,8,0.727,0
"Kane, Deandre",Jr.,2012-13,G,6-4,28,153,380,0.403,31,125,0.248,86,165,0.521,124,4.429,195,6.964,6,0.214,50,1.786,423,15.107,118
"Loop, Austin",Fr.,2012-13,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Manning, Tamron",Fr.,2012-13,G,6-4,28,8,32,0.250,4,20,0.200,17,20,0.850,21,0.750,32,1.143,2,0.071,9,0.321,37,1.321,28
"Martin, Chris",So.,2012-13,G,6-0,23,24,86,0.279,15,56,0.268,9,20,0.450,22,0.957,19,0.826,0,-,15,0.652,72,3.130,30
"Mbao, Yous",Jr.,2012-13,C,7-2,13,0,4,0.000,0,0,-,4,7,0.571,12,0.923,0,-,7,0.538,0,-,4,0.308,6
"Pittman, Elijah",Jr.,2012-13,F,6-9,32,169,348,0.486,65,175,0.371,113,161,0.702,135,4.219,50,1.563,24,0.750,24,0.750,516,16.125,77
"Scarver, D.D.",Jr.,2012-13,F,6-4,32,121,334,0.362,65,199,0.327,75,95,0.789,65,2.031,51,1.594,7,0.219,22,0.688,382,11.938,59
"Spikes, Nigel",Sr.,2012-13,C,6-10,32,58,124,0.468,0,1,0.000,65,125,0.520,233,7.281,19,0.594,60,1.875,23,0.719,181,5.656,45
"Tinnon, Dennis",Sr.,2012-13,F,6-8,32,131,274,0.478,13,42,0.310,60,93,0.645,292,9.125,46,1.438,9,0.281,28,0.875,335,10.469,69
