name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Burge, Jordan",Sr.,2012-13,G,5-11,6,0,3,0.000,0,2,0.000,0,0,-,0,-,0,-,0,-,1,0.167,0,-,1
"Canaan, Isaiah",Sr.,2012-13,G,6-1,31,215,499,0.431,94,254,0.370,152,185,0.822,110,3.548,133,4.290,4,0.129,47,1.516,676,21.806,98
"Daniel, Edward",Sr.,2012-13,F,6-7,31,135,241,0.560,1,5,0.200,138,226,0.611,311,10.032,33,1.065,50,1.613,37,1.194,409,13.194,62
"Fields, Dexter",Jr.,2012-13,G,6-2,31,71,190,0.374,56,159,0.352,5,10,0.500,79,2.548,45,1.452,5,0.161,28,0.903,203,6.548,34
"Ford, C.J.",Fr.,2012-13,G,6-1,27,11,40,0.275,3,10,0.300,11,16,0.688,26,0.963,23,0.852,2,0.074,11,0.407,36,1.333,18
"Garrett, Brandon",Sr.,2012-13,F,6-9,31,86,132,0.652,0,0,-,34,64,0.531,155,5.000,26,0.839,18,0.581,23,0.742,206,6.645,45
"Gillmore, Terron",Fr.,2012-13,F,6-7,13,8,13,0.615,0,0,-,4,5,0.800,12,0.923,2,0.154,4,0.308,1,0.077,20,1.538,5
"Henderson, Zay",Fr.,2012-13,F,6-8,17,9,11,0.818,0,0,-,2,7,0.286,33,1.941,0,-,0,-,1,0.059,20,1.176,6
"Jackson, Zay",So.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McCree, Erik",Fr.,2012-13,F,6-7,24,15,44,0.341,2,13,0.154,6,6,1.000,45,1.875,4,0.167,1,0.042,6,0.250,38,1.583,15
"Moss, Jeffery",Fr.,2012-13,F,6-4,29,40,95,0.421,25,62,0.403,24,26,0.923,59,2.034,38,1.310,5,0.172,16,0.552,129,4.448,28
"Mushatt, Latreze",Sr.,2012-13,F,6-5,17,27,70,0.386,3,17,0.176,18,29,0.621,66,3.882,11,0.647,3,0.176,6,0.353,75,4.412,19
"Rambo, Tyler",Fr.,2012-13,F,6-5,14,10,17,0.588,0,0,-,7,11,0.636,6,0.429,4,0.286,0,-,0,-,27,1.929,10
"Wilson, Stacy",Sr.,2012-13,F,6-3,31,149,361,0.413,59,179,0.330,61,84,0.726,116,3.742,78,2.516,11,0.355,33,1.065,418,13.484,88
