name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bronner, Jordon",Jr.,2012-13,G,6-0,29,33,90,0.367,13,43,0.302,33,50,0.660,43,1.483,62,2.138,2,0.069,18,0.621,112,3.862,26
"Jones, Garrett",So.,2012-13,G,6-0,1,0,2,0.000,0,2,0.000,0,0,-,0,-,1,1.000,0,-,0,-,0,-,0
"Konan, Patrick",Jr.,2012-13,F,6-6,28,113,287,0.394,48,147,0.327,55,76,0.724,150,5.357,22,0.786,10,0.357,22,0.786,329,11.750,68
"Matagrano, Chris",Sr.,2012-13,F,6-9,29,64,118,0.542,3,15,0.200,26,35,0.743,90,3.103,19,0.655,7,0.241,10,0.345,157,5.414,26
"McDonnell, Tommy",So.,2012-13,G,6-3,16,1,5,0.200,0,0,-,1,2,0.500,16,1.000,6,0.375,1,0.063,1,0.063,3,0.188,6
"Miller, Matt",Jr.,2012-13,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Morris, Scott",Jr.,2012-13,G,6-2,28,45,105,0.429,34,85,0.400,3,5,0.600,21,0.750,16,0.571,1,0.036,13,0.464,127,4.536,17
"Mortenson, Logan",Fr.,2012-13,F,6-7,17,7,28,0.250,5,18,0.278,4,4,1.000,17,1.000,7,0.412,0,-,4,0.235,23,1.353,7
"Myrick, Ferg",Sr.,2012-13,F,6-6,28,125,358,0.349,43,135,0.319,89,136,0.654,174,6.214,34,1.214,19,0.679,26,0.929,382,13.643,63
"Nyanguila, Kazadi",Jr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Okeke, Frank",Fr.,2012-13,F,6-6,16,4,25,0.160,2,11,0.182,2,4,0.500,16,1.000,1,0.063,0,-,2,0.125,12,0.750,4
"Orozco, Chris",Fr.,2012-13,G,6-3,20,2,27,0.074,1,9,0.111,15,21,0.714,36,1.800,11,0.550,0,-,5,0.250,20,1.000,16
"Pelcher, Chris",Sr.,2012-13,C,6-10,25,95,178,0.534,0,0,-,38,62,0.613,158,6.320,22,0.880,34,1.360,20,0.800,228,9.120,31
"Rhoads, Chandler",Sr.,2012-13,G,6-4,29,103,315,0.327,30,116,0.259,77,137,0.562,138,4.759,98,3.379,3,0.103,45,1.552,313,10.793,66
"Trotman, Jeron",Sr.,2012-13,F,6-6,24,17,28,0.607,0,0,-,5,13,0.385,50,2.083,5,0.208,5,0.208,3,0.125,39,1.625,11
