name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bewernick, Gaellan",So.,2012-13,F,6-6,31,84,151,0.556,1,11,0.091,16,36,0.444,183,5.903,32,1.032,11,0.355,21,0.677,185,5.968,40
"Dunn, Michael",Sr.,2012-13,G,6-0,32,59,146,0.404,18,62,0.290,49,61,0.803,98,3.063,49,1.531,11,0.344,36,1.125,185,5.781,41
"Ekanem, Ephraim",Sr.,2012-13,C,6-7,31,40,80,0.500,0,0,-,16,44,0.364,69,2.226,2,0.065,13,0.419,9,0.290,96,3.097,16
"Flores, Luis",Sr.,2012-13,G,6-3,14,4,20,0.200,3,17,0.176,3,4,0.750,6,0.429,1,0.071,0,-,2,0.143,14,1.000,7
"Gosar, Bryce",Fr.,2012-13,G,6-1,5,0,1,0.000,0,1,0.000,0,0,-,1,0.200,1,0.200,0,-,0,-,0,-,2
"Hamilton, Blake",Fr.,2012-13,F,6-5,18,23,67,0.343,3,14,0.214,19,32,0.594,25,1.389,7,0.389,2,0.111,7,0.389,68,3.778,18
"Heine, Chris",Jr.,2012-13,G,6-2,12,2,3,0.667,1,2,0.500,0,0,-,1,0.083,0,-,0,-,2,0.167,5,0.417,2
"Jacobsen, Max",Jr.,2012-13,F,6-8,32,126,212,0.594,0,0,-,35,59,0.593,146,4.563,30,0.938,15,0.469,24,0.750,287,8.969,48
"Martin, Jordyn",Fr.,2012-13,F,6-7,32,27,61,0.443,0,1,0.000,10,17,0.588,88,2.750,19,0.594,14,0.438,7,0.219,64,2.000,24
"Olayinka, Ben",Sr.,2012-13,F,6-7,5,5,8,0.625,0,0,-,0,2,0.000,5,1.000,1,0.200,3,0.600,0,-,10,2.000,3
"Rogers, Gabe",Sr.,2012-13,G,6-2,32,202,517,0.391,95,259,0.367,74,91,0.813,63,1.969,58,1.813,2,0.063,32,1.000,573,17.906,88
"Russell, Dewayne",Fr.,2012-13,G,5-11,32,149,374,0.398,41,121,0.339,123,168,0.732,78,2.438,102,3.188,4,0.125,49,1.531,462,14.438,98
"Saldivar, Stallon",Sr.,2012-13,G,6-0,29,67,165,0.406,19,66,0.288,38,53,0.717,161,5.552,132,4.552,2,0.069,40,1.379,191,6.586,66
"Springs, Len",Jr.,2012-13,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wahl, Nick",Fr.,2012-13,C,6-9,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
