name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Asbury, Joey",Jr.,2012-13,G,6-7,19,2,7,0.286,0,2,0.000,4,4,1.000,7,0.368,0,-,0,-,2,0.105,8,0.421,1
"Bader, Travis",Jr.,2012-13,G,6-5,33,206,523,0.394,139,360,0.386,179,202,0.886,95,2.879,32,0.970,2,0.061,30,0.909,730,22.121,47
"Baenziger, Mitch",Fr.,2012-13,G,6-2,13,1,5,0.200,1,3,0.333,0,0,-,1,0.077,0,-,0,-,1,0.077,3,0.231,1
"Bass, Ryan",Jr.,2012-13,G,5-9,32,97,268,0.362,30,86,0.349,73,88,0.830,81,2.531,86,2.688,2,0.063,37,1.156,297,9.281,56
"Carter, Raphael",Jr.,2012-13,F,6-9,26,21,36,0.583,0,0,-,7,18,0.389,48,1.846,4,0.154,5,0.192,5,0.192,49,1.885,9
"Howenstine, Jordan",Sr.,2012-13,G,6-1,7,0,7,0.000,0,2,0.000,1,2,0.500,3,0.429,1,0.143,0,-,1,0.143,1,0.143,2
"Imami, Korab",Fr.,2012-13,C,6-11,5,1,1,1.000,0,0,-,0,0,-,3,0.600,0,-,0,-,1,0.200,2,0.400,0
"Mondy, Duke",Jr.,2012-13,G,6-4,33,141,353,0.399,35,111,0.315,79,96,0.823,144,4.364,168,5.091,10,0.303,100,3.030,396,12.000,111
"Neely II, Lloyd",Fr.,2012-13,F,6-5,20,9,19,0.474,0,0,-,3,11,0.273,17,0.850,3,0.150,0,-,2,0.100,21,1.050,9
"Petros, Corey",So.,2012-13,C,6-10,33,157,278,0.565,0,0,-,100,193,0.518,269,8.152,34,1.030,11,0.333,21,0.636,414,12.545,51
"Poches, Matt",So.,2012-13,C,6-4,31,25,55,0.455,0,2,0.000,21,29,0.724,22,0.710,17,0.548,0,-,10,0.323,71,2.290,21
"Valentine, Drew",Sr.,2012-13,F,6-5,33,122,239,0.510,17,60,0.283,75,119,0.630,216,6.545,72,2.182,4,0.121,57,1.727,336,10.182,71
"Williams, Dante",So.,2012-13,F,6-6,31,41,95,0.432,17,47,0.362,17,28,0.607,56,1.806,16,0.516,4,0.129,5,0.161,116,3.742,13
