name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baltic, Ivo",Sr.,2012-13,F,6-8,34,111,237,0.468,10,30,0.333,5,13,0.385,171,5.029,70,2.059,21,0.618,37,1.088,237,6.971,71
"Cooper, D.J.",Sr.,2012-13,G,5-11,34,150,354,0.424,76,209,0.364,104,148,0.703,109,3.206,242,7.118,6,0.176,68,2.000,480,14.118,119
"Goff, Nick",Jr.,2012-13,G,6-4,14,2,9,0.222,2,8,0.250,4,5,0.800,2,0.143,4,0.286,0,-,1,0.071,10,0.714,0
"Green, Kadeem",So.,2012-13,F,6-8,12,15,20,0.750,0,0,-,5,7,0.714,12,1.000,0,-,3,0.250,1,0.083,35,2.917,2
"Hall, T.J.",Jr.,2012-13,F,6-6,32,57,134,0.425,23,77,0.299,17,26,0.654,50,1.563,28,0.875,2,0.063,14,0.438,154,4.813,31
"Javarez, Willis",Jr.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnson, Ricardo",Jr.,2012-13,G,6-4,33,40,92,0.435,6,20,0.300,30,49,0.612,73,2.212,36,1.091,6,0.182,14,0.424,116,3.515,27
"Keely, Reggie",Sr.,2012-13,F,6-8,34,162,270,0.600,1,5,0.200,87,129,0.674,152,4.471,24,0.706,27,0.794,26,0.765,412,12.118,42
"Kellogg, Nick",Jr.,2012-13,G,6-3,34,92,220,0.418,54,160,0.338,34,43,0.791,71,2.088,48,1.412,3,0.088,35,1.029,272,8.000,40
"McKinley, David",Sr.,2012-13,G,5-9,15,6,7,0.857,5,5,1.000,0,0,-,2,0.133,1,0.067,0,-,3,0.200,17,1.133,0
"Offutt, Walter",Sr.,2012-13,G,6-3,34,116,274,0.423,47,140,0.336,81,102,0.794,143,4.206,70,2.059,3,0.088,45,1.324,360,10.588,54
"Setty, Treg",So.,2012-13,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Smith, Jon",Jr.,2012-13,F,6-7,34,65,107,0.607,0,0,-,32,45,0.711,123,3.618,10,0.294,47,1.382,25,0.735,162,4.765,10
"Taylor, Stevie",So.,2012-13,G,5-9,34,39,105,0.371,21,56,0.375,7,13,0.538,19,0.559,41,1.206,2,0.059,21,0.618,106,3.118,21
"Wilkins, Travis",Jr.,2012-13,G,6-4,30,34,80,0.425,23,55,0.418,12,18,0.667,21,0.700,20,0.667,0,-,13,0.433,103,3.433,5
