name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anachebe, Ekene",Fr.,2012-13,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bacote, Aaron",Fr.,2012-13,G,6-5,29,74,193,0.383,32,110,0.291,45,64,0.703,73,2.517,75,2.586,6,0.207,30,1.034,225,7.759,77
"Batten, Dimitri",So.,2012-13,G,6-3,30,105,275,0.382,48,149,0.322,52,75,0.693,80,2.667,39,1.300,11,0.367,25,0.833,310,10.333,41
"Clark, Deion",Fr.,2012-13,G,6-3,17,34,83,0.410,10,34,0.294,11,17,0.647,26,1.529,20,1.176,2,0.118,10,0.588,89,5.235,21
"Hill, Donte",Jr.,2012-13,G,6-4,30,84,217,0.387,21,92,0.228,57,93,0.613,119,3.967,86,2.867,15,0.500,38,1.267,246,8.200,74
"Larsen, Anton",Jr.,2012-13,C,7-0,23,17,52,0.327,2,13,0.154,3,7,0.429,44,1.913,6,0.261,5,0.217,8,0.348,39,1.696,8
"McEwen, Stuart",Fr.,2012-13,F,6-9,12,2,8,0.250,0,5,0.000,0,0,-,4,0.333,2,0.167,0,-,0,-,4,0.333,2
"Mosley, Ambrose",Fr.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Painter, Deshawn",Sr.,2012-13,F,6-9,30,155,356,0.435,13,39,0.333,67,110,0.609,253,8.433,25,0.833,29,0.967,11,0.367,390,13.000,60
"Palmore, Keenan",Fr.,2012-13,G,6-1,29,80,195,0.410,1,10,0.100,77,112,0.688,126,4.345,88,3.034,3,0.103,55,1.897,238,8.207,53
"Ross, Richard",So.,2012-13,F,6-7,30,94,168,0.560,2,8,0.250,29,47,0.617,172,5.733,22,0.733,57,1.900,27,0.900,219,7.300,34
"Shaw, Martin",---,2012-13,-,-,4,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Wright, Nick",Sr.,2012-13,C,6-8,28,62,180,0.344,9,46,0.196,54,73,0.740,114,4.071,13,0.464,13,0.464,11,0.393,187,6.679,29
