name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Banchy, Max",---,2012-13,-,-,1,2,5,0.400,1,3,0.333,0,0,-,2,2.000,4,4.000,0,-,2,2.000,5,5.000,0
"Bradley, Jalen",Fr.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carter, CJ",So.,2012-13,G,6-0,29,106,235,0.451,18,73,0.247,56,74,0.757,91,3.138,84,2.897,4,0.138,33,1.138,286,9.862,76
"Coleman, Jacques",Sr.,2012-13,G,5-11,25,20,47,0.426,3,12,0.250,14,23,0.609,22,0.880,14,0.560,0,-,11,0.440,57,2.280,23
"Dixon, Cory",---,2012-13,G,-,1,5,7,0.714,1,1,1.000,0,0,-,3,3.000,3,3.000,0,-,2,2.000,11,11.000,0
"Doluony, Koang",Sr.,2012-13,F,6-8,6,6,13,0.462,2,6,0.333,4,4,1.000,15,2.500,3,0.500,0,-,4,0.667,18,3.000,9
"Egli, Tyler",Sr.,2012-13,G,6-4,23,9,34,0.265,7,27,0.259,8,10,0.800,11,0.478,4,0.174,0,-,2,0.087,33,1.435,3
"Hagerbaumer, Matt",Jr.,2012-13,F,6-7,31,39,49,0.796,0,0,-,5,16,0.313,110,3.548,21,0.677,24,0.774,12,0.387,83,2.677,16
"Hobbs, Tommy",---,2012-13,G,-,1,1,5,0.200,0,2,0.000,2,2,1.000,1,1.000,0,-,0,-,0,-,4,4.000,1
"Karhoff, John",Jr.,2012-13,C,6-8,31,155,315,0.492,2,7,0.286,61,86,0.709,127,4.097,74,2.387,22,0.710,25,0.806,373,12.032,52
"Krych, Simon",Fr.,2012-13,F,6-8,19,13,32,0.406,0,1,0.000,12,30,0.400,19,1.000,0,-,4,0.211,0,-,38,2.000,4
"McPHEARSON, Traddariu",---,2012-13,F,-,1,0,2,0.000,0,1,0.000,1,2,0.500,3,3.000,0,-,0,-,0,-,1,1.000,2
"Phillips, Alex",Jr.,2012-13,G,6-3,30,86,189,0.455,20,55,0.364,51,67,0.761,74,2.467,39,1.300,0,-,19,0.633,243,8.100,70
"Rostampour, Mike",Jr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Simmons, Justin",Jr.,2012-13,G,6-3,31,196,414,0.473,43,107,0.402,82,105,0.781,125,4.032,64,2.065,20,0.645,37,1.194,517,16.677,93
"Steffensmeier, Caleb",Jr.,2012-13,G,6-1,30,33,79,0.418,19,51,0.373,20,27,0.741,41,1.367,47,1.567,6,0.200,20,0.667,105,3.500,19
"Tyus, Marcus",Fr.,2012-13,G,6-1,31,68,162,0.420,24,66,0.364,25,46,0.543,76,2.452,30,0.968,2,0.065,20,0.645,185,5.968,38
"Welhouse, Alex",Sr.,2012-13,F,6-7,31,87,198,0.439,49,116,0.422,33,44,0.750,145,4.677,22,0.710,4,0.129,18,0.581,256,8.258,43
