name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bell-Holter, Damen",Sr.,2012-13,F,6-10,35,190,371,0.512,5,18,0.278,159,211,0.754,328,9.371,42,1.200,47,1.343,19,0.543,544,15.543,71
"Billbury, Korey",Fr.,2012-13,G,6-2,35,77,179,0.430,8,34,0.235,51,68,0.750,132,3.771,87,2.486,4,0.114,43,1.229,213,6.086,75
"Byford, Corbin",Fr.,2012-13,F,6-6,3,4,6,0.667,0,0,-,2,6,0.333,9,3.000,3,1.000,0,-,1,0.333,10,3.333,5
"Conley, Brandon",Fr.,2012-13,F,6-5,31,29,58,0.500,0,0,-,17,30,0.567,75,2.419,13,0.419,10,0.323,8,0.258,75,2.419,28
"Glover, Shawn",Jr.,2012-13,F,6-7,33,199,399,0.499,8,36,0.222,70,98,0.714,167,5.061,64,1.939,44,1.333,40,1.212,476,14.424,70
"Jackson, D.J.",Fr.,2012-13,G,5-11,35,38,111,0.342,24,63,0.381,46,54,0.852,61,1.743,91,2.600,0,-,27,0.771,146,4.171,55
"Kaufman, Jorden",Fr.,2012-13,C,7-0,11,10,23,0.435,0,0,-,4,7,0.571,16,1.455,0,-,2,0.182,1,0.091,24,2.182,4
"Lliteras, Jake",So.,2012-13,F,6-5,20,6,27,0.222,3,16,0.188,4,4,1.000,15,0.750,9,0.450,0,-,5,0.250,19,0.950,10
"Manghum, Mikey",Sr.,2012-13,G,6-1,34,26,62,0.419,21,54,0.389,12,15,0.800,41,1.206,46,1.353,3,0.088,12,0.353,85,2.500,27
"Niles, Warren",Sr.,2012-13,G,6-4,35,222,507,0.438,96,243,0.395,121,153,0.791,145,4.143,55,1.571,6,0.171,41,1.171,661,18.886,69
"Purnell, P.J.",So.,2012-13,G,6-2,3,2,4,0.500,0,2,0.000,1,1,1.000,1,0.333,1,0.333,0,-,1,0.333,5,1.667,0
"Roundtree, Steven",Jr.,2012-13,F,6-8,23,87,183,0.475,0,1,0.000,52,83,0.627,147,6.391,31,1.348,17,0.739,20,0.870,226,9.826,62
"Tannehill, Caleb",Fr.,2012-13,G,5-10,2,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
