name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Atanga, Yannick",So.,2012-13,F,6-8,38,35,70,0.500,0,0,-,27,58,0.466,234,6.158,8,0.211,38,1.000,11,0.289,97,2.553,23
"Clark, Brandon",So.,2012-13,G,6-0,38,80,186,0.430,27,65,0.415,87,111,0.784,70,1.842,102,2.684,2,0.053,26,0.684,274,7.211,57
"Clarke, Julian",So.,2012-13,G,6-3,30,21,51,0.412,11,31,0.355,0,0,-,10,0.333,9,0.300,0,-,5,0.167,53,1.767,15
"Cowels III, Raymond",Sr.,2012-13,F,6-4,38,124,304,0.408,76,195,0.390,32,37,0.865,165,4.342,20,0.526,6,0.158,58,1.526,356,9.368,35
"Foster, Kevin",Sr.,2012-13,G,6-2,38,241,602,0.400,120,335,0.358,130,166,0.783,103,2.711,165,4.342,5,0.132,91,2.395,732,19.263,131
"Garrett, Robert",So.,2012-13,C,7-0,32,27,52,0.519,0,0,-,12,29,0.414,69,2.156,2,0.063,41,1.281,6,0.188,66,2.063,15
"Harrison, Niyi",Sr.,2012-13,F,6-7,28,17,29,0.586,0,0,-,19,40,0.475,70,2.500,2,0.071,8,0.286,7,0.250,53,1.893,16
"Johnson, Denzel",So.,2012-13,G,6-4,35,22,69,0.319,3,18,0.167,20,28,0.714,24,0.686,10,0.286,2,0.057,8,0.229,67,1.914,9
"Kratch, Nate",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McArthur, John",Jr.,2012-13,F,6-9,38,31,71,0.437,0,0,-,13,16,0.813,92,2.421,9,0.237,9,0.237,10,0.263,75,1.974,14
"Perricone, Kyle",Sr.,2012-13,G,6-3,12,4,13,0.308,3,9,0.333,1,2,0.500,6,0.500,3,0.250,0,-,1,0.083,12,1.000,0
"Roquemore, Evan",Jr.,2012-13,G,6-3,38,138,330,0.418,49,146,0.336,130,160,0.813,122,3.211,196,5.158,8,0.211,46,1.211,455,11.974,83
"Trasolini, Marc",Jr.,2012-13,F,6-9,38,230,418,0.550,14,41,0.341,113,156,0.724,282,7.421,34,0.895,54,1.421,32,0.842,587,15.447,64
