name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Beane, Jr., Anthony",Fr.,2012-13,G,6-2,31,108,266,0.406,21,67,0.313,46,65,0.708,77,2.484,45,1.452,4,0.129,30,0.968,283,9.129,51
"Belts, Calvin",---,2012-13,-,-,5,0,2,0.000,0,0,-,0,2,0.000,1,0.200,0,-,0,-,0,-,0,-,0
"Bonifield, Ryan",---,2012-13,-,-,4,0,0,-,0,0,-,1,2,0.500,2,0.500,0,-,0,-,0,-,1,0.250,0
"Brown-Surles, Kendal",Sr.,2012-13,G,5-9,30,54,166,0.325,39,120,0.325,24,36,0.667,53,1.767,71,2.367,4,0.133,35,1.167,171,5.700,46
"Bryer, Antonio",So.,2012-13,F,6-6,9,13,23,0.565,0,0,-,0,0,-,13,1.444,2,0.222,2,0.222,0,-,26,2.889,4
"Daniels, Dantiel",So.,2012-13,F,6-5,27,84,138,0.609,0,0,-,40,87,0.460,86,3.185,14,0.519,23,0.852,21,0.778,208,7.704,34
"Drinkard, Davante",Jr.,2012-13,F,6-9,29,23,53,0.434,0,0,-,9,20,0.450,55,1.897,6,0.207,11,0.379,1,0.034,55,1.897,23
"Early, Jeff",Sr.,2012-13,G,6-1,30,154,301,0.512,6,24,0.250,75,103,0.728,217,7.233,32,1.067,4,0.133,51,1.700,389,12.967,48
"Heins, Chase",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jackson, Desmar",Jr.,2012-13,G,6-5,31,168,383,0.439,38,119,0.319,93,135,0.689,167,5.387,61,1.968,15,0.484,58,1.871,467,15.065,84
"Lindsay, T.J.",Sr.,2012-13,G,6-3,31,42,113,0.372,23,60,0.383,9,10,0.900,52,1.677,38,1.226,2,0.065,21,0.677,116,3.742,18
"Long, Colby",Jr.,2012-13,G,5-11,23,6,17,0.353,4,12,0.333,1,3,0.333,6,0.261,7,0.304,0,-,1,0.043,17,0.739,10
"Olaniyan, Bola",Fr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pendleton, Jalen",Fr.,2012-13,G,6-2,30,45,101,0.446,8,25,0.320,33,46,0.717,62,2.067,30,1.000,1,0.033,19,0.633,131,4.367,33
"Swan, Josh",So.,2012-13,G,6-2,22,35,78,0.449,0,6,0.000,28,50,0.560,51,2.318,15,0.682,2,0.091,13,0.591,98,4.455,19
"Taylor, Diamond",Jr.,2012-13,G,6-4,7,1,4,0.250,0,1,0.000,0,0,-,3,0.429,0,-,0,-,0,-,2,0.286,2
