name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Alston, Barrington",Fr.,2012-13,F,6-8,9,2,7,0.286,0,0,-,1,7,0.143,6,0.667,0,-,1,0.111,0,-,5,0.556,1
"Benimon, Jerrelle",Jr.,2012-13,F,6-8,31,188,353,0.533,20,49,0.408,134,205,0.654,346,11.161,79,2.548,60,1.935,21,0.677,530,17.097,120
"Blackstone, Bryan",Sr.,2012-13,G,5-10,5,0,2,0.000,0,1,0.000,0,0,-,3,0.600,0,-,0,-,1,0.200,0,-,5
"Burwell, Mike",Jr.,2012-13,G,6-5,31,88,240,0.367,47,149,0.315,57,78,0.731,99,3.194,21,0.677,12,0.387,17,0.548,280,9.032,42
"Collins, Christian",Jr.,2012-13,G,6-0,4,1,1,1.000,1,1,1.000,0,0,-,2,0.500,1,0.250,0,-,0,-,3,0.750,0
"Damas, Marcus",Jr.,2012-13,F,6-7,30,118,272,0.434,31,102,0.304,76,110,0.691,158,5.267,48,1.600,31,1.033,20,0.667,343,11.433,58
"Dixon, Bilal",Sr.,2012-13,C,6-9,31,89,170,0.524,1,2,0.500,34,64,0.531,225,7.258,10,0.323,38,1.226,9,0.290,213,6.871,41
"Flash, Jamel",So.,2012-13,F,6-11,16,3,8,0.375,0,0,-,0,1,0.000,9,0.563,1,0.063,5,0.313,0,-,6,0.375,3
"Guthrie, Rafriel",Jr.,2012-13,G,6-3,31,87,199,0.437,17,55,0.309,61,96,0.635,79,2.548,30,0.968,3,0.097,26,0.839,252,8.129,42
"Hairston, Jerome",Fr.,2012-13,G,6-3,31,111,288,0.385,38,110,0.345,48,66,0.727,62,2.000,77,2.484,1,0.032,35,1.129,308,9.935,82
"Marshall, Marquis",Fr.,2012-13,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McGlynn, Four",So.,2012-13,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Parker-Rivera, Timajh",Fr.,2012-13,F,6-7,31,29,65,0.446,0,0,-,28,42,0.667,96,3.097,6,0.194,16,0.516,7,0.226,86,2.774,24
"Schulkin, Jeremy",Fr.,2012-13,G,6-4,2,1,2,0.500,0,0,-,0,0,-,3,1.500,1,0.500,0,-,0,-,2,1.000,1
"Walden, Kris",So.,2012-13,G,6-1,31,37,110,0.336,13,55,0.236,10,18,0.556,43,1.387,41,1.323,2,0.065,23,0.742,97,3.129,30
