name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Best, Mike",So.,2012-13,C,6-10,10,18,49,0.367,2,9,0.222,7,11,0.636,31,3.100,7,0.700,7,0.700,3,0.300,45,4.500,6
"Clifford, Conor",Fr.,2012-13,C,7-0,32,33,68,0.485,0,1,0.000,14,19,0.737,54,1.688,5,0.156,15,0.469,3,0.094,80,2.500,22
"Davis II, Will",So.,2012-13,C,6-8,36,155,281,0.552,0,1,0.000,38,65,0.585,245,6.806,22,0.611,88,2.444,18,0.500,348,9.667,58
"Flowers, Derick",Sr.,2012-13,G,6-0,37,32,111,0.288,11,53,0.208,29,38,0.763,54,1.459,55,1.486,2,0.054,13,0.351,104,2.811,38
"Folker, Adam",Sr.,2012-13,F,6-9,32,131,229,0.572,0,0,-,37,84,0.440,201,6.281,35,1.094,11,0.344,14,0.438,299,9.344,57
"Mala, Ege",Fr.,2012-13,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McConnell, Reed",Fr.,2012-13,F,6-5,8,2,6,0.333,2,4,0.500,2,2,1.000,1,0.125,0,-,0,-,0,-,8,1.000,2
"McNealy, Chris",Jr.,2012-13,G,6-4,37,125,298,0.419,30,89,0.337,62,85,0.729,154,4.162,75,2.027,7,0.189,26,0.703,342,9.243,39
"Ryan, John",So.,2012-13,C,6-10,24,18,34,0.529,0,0,-,19,30,0.633,41,1.708,14,0.583,13,0.542,3,0.125,55,2.292,18
"Souza, Travis",So.,2012-13,F,6-4,31,31,67,0.463,28,57,0.491,17,21,0.810,39,1.258,18,0.581,0,-,3,0.097,107,3.452,10
"Starring, Daman",Sr.,2012-13,G,6-3,36,153,373,0.410,72,177,0.407,85,109,0.780,142,3.944,72,2.000,5,0.139,32,0.889,463,12.861,69
"Wilder, Michael",Sr.,2012-13,G,6-2,37,107,306,0.350,72,229,0.314,34,69,0.493,201,5.432,110,2.973,4,0.108,32,0.865,320,8.649,53
"Woods, Collin",So.,2012-13,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wright, Aaron",Fr.,2012-13,G,6-3,26,14,39,0.359,2,11,0.182,15,25,0.600,18,0.692,23,0.885,1,0.038,5,0.192,45,1.731,28
"Young, Alex",Fr.,2012-13,G,6-1,37,113,290,0.390,30,115,0.261,86,111,0.775,123,3.324,144,3.892,9,0.243,29,0.784,342,9.243,55
