name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Absher, Drew",Jr.,2012-13,G,5-10,13,2,10,0.200,1,8,0.125,1,2,0.500,6,0.462,4,0.308,0,-,0,-,6,0.462,5
"Albritton, Dorian",Fr.,2012-13,F,6-4,25,35,113,0.310,25,92,0.272,3,8,0.375,36,1.440,14,0.560,0,-,5,0.200,98,3.920,17
"Anglade, Phillip",Fr.,2012-13,F,6-5,31,38,68,0.559,0,0,-,15,35,0.429,89,2.871,1,0.032,18,0.581,14,0.452,91,2.935,9
"Brown, Brian",So.,2012-13,G,5-11,31,89,233,0.382,71,192,0.370,16,19,0.842,65,2.097,32,1.032,0,-,19,0.613,265,8.548,24
"Burton, Christian",So.,2012-13,G,5-10,13,7,21,0.333,5,18,0.278,1,7,0.143,10,0.769,4,0.308,0,-,2,0.154,20,1.538,2
"Carr, Joe",Sr.,2012-13,G,6-3,29,18,43,0.419,1,13,0.077,15,22,0.682,53,1.828,50,1.724,1,0.034,23,0.793,52,1.793,37
"Covington, D.J.",Jr.,2012-13,F,6-9,31,190,339,0.560,1,7,0.143,83,128,0.648,224,7.226,26,0.839,93,3.000,39,1.258,464,14.968,65
"Glasgow, Rodney",Jr.,2012-13,G,5-10,28,106,245,0.433,49,130,0.377,66,80,0.825,70,2.500,133,4.750,1,0.036,36,1.286,327,11.679,54
"Gore, Nick",Sr.,2012-13,F,6-6,31,55,143,0.385,19,72,0.264,23,41,0.561,135,4.355,75,2.419,4,0.129,30,0.968,152,4.903,38
"Marshall, Tim",Fr.,2012-13,G,6-3,31,66,199,0.332,48,157,0.306,21,29,0.724,43,1.387,14,0.452,0,-,17,0.548,201,6.484,25
"Okoye, Stan",Sr.,2012-13,F,6-6,31,236,523,0.451,59,161,0.366,135,202,0.668,290,9.355,82,2.645,13,0.419,47,1.516,666,21.484,100
"Stephenson, Gavin",Fr.,2012-13,G,6-3,22,17,51,0.333,3,19,0.158,11,16,0.688,29,1.318,24,1.091,0,-,16,0.727,48,2.182,19
"Watson, Jarid",So.,2012-13,C,6-7,21,13,23,0.565,0,0,-,7,15,0.467,27,1.286,6,0.286,5,0.238,2,0.095,33,1.571,10
"Weethee, Jordan",Fr.,2012-13,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
