name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Avery, A.J.",Fr.,2012-13,F,6-6,19,8,14,0.571,0,1,0.000,5,8,0.625,16,0.842,2,0.105,2,0.105,1,0.053,21,1.105,5
"Brennan, Tim",So.,2012-13,G,6-5,7,1,4,0.250,0,1,0.000,0,0,-,4,0.571,0,-,0,-,2,0.286,2,0.286,2
"Brown, David",Sr.,2012-13,G,6-3,22,67,173,0.387,33,96,0.344,74,111,0.667,53,2.409,25,1.136,5,0.227,32,1.455,241,10.955,43
"Harris, Charles",Fr.,2012-13,G,6-3,6,5,13,0.385,1,6,0.167,1,3,0.333,7,1.167,2,0.333,0,-,2,0.333,12,2.000,1
"Hazel, Paul",Sr.,2012-13,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hoerdemann, Hayden",So.,2012-13,G,6-3,11,0,12,0.000,0,9,0.000,3,4,0.750,2,0.182,0,-,0,-,1,0.091,3,0.273,1
"Hutcheson, Nate",Sr.,2012-13,F,6-7,35,114,291,0.392,33,121,0.273,91,131,0.695,166,4.743,58,1.657,21,0.600,28,0.800,352,10.057,70
"Klein, Jared",Fr.,2012-13,G,6-1,32,33,88,0.375,9,34,0.265,26,35,0.743,50,1.563,32,1.000,0,-,17,0.531,101,3.156,39
"Loney, Dan",Sr.,2012-13,F,6-4,32,12,24,0.500,0,0,-,14,21,0.667,59,1.844,10,0.313,0,-,3,0.094,38,1.188,13
"McCormick, Kellen",Fr.,2012-13,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Paul, Darius",Fr.,2012-13,F,6-8,35,139,298,0.466,10,44,0.227,77,117,0.658,198,5.657,58,1.657,13,0.371,17,0.486,365,10.429,74
"Perry, Taylor",Fr.,2012-13,G,6-4,34,21,53,0.396,6,13,0.462,14,22,0.636,40,1.176,9,0.265,3,0.088,12,0.353,62,1.824,22
"Pokley, Brandon",Sr.,2012-13,G,6-4,35,92,228,0.404,60,155,0.387,67,76,0.882,94,2.686,34,0.971,3,0.086,12,0.343,311,8.886,51
"Richie, Austin",So.,2012-13,G,6-3,35,67,165,0.406,33,88,0.375,47,76,0.618,54,1.543,104,2.971,3,0.086,20,0.571,214,6.114,64
"Stapert, Nick",Jr.,2012-13,C,6-8,3,1,1,1.000,0,0,-,0,0,-,2,0.667,0,-,0,-,0,-,2,0.667,0
"Tava, Connar",Fr.,2012-13,F,6-5,35,56,117,0.479,1,4,0.250,43,74,0.581,119,3.400,38,1.086,6,0.171,26,0.743,156,4.457,47
"Washington, Von",Fr.,2012-13,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Whittington, Shayne",Sr.,2012-13,C,6-10,35,168,334,0.503,2,15,0.133,125,157,0.796,308,8.800,40,1.143,58,1.657,25,0.714,463,13.229,65
