Oakwood,11/11/2012,85,41,Home,,-,200
Missouri,11/13/2012,54,91,Away,,-,"8,013"
Stanford,11/15/2012,51,69,Away,,-,"4,028"
Fort Valley St.,11/19/2012,78,86,Home,,-,150
FGCU,11/21/2012,48,50,Away,,-,"1,370"
Samford,11/22/2012,69,65,Neutral,"Fort Myers, FL",1 OT,676
Mississippi St.,11/27/2012,42,60,Away,,-,"6,101"
Jacksonville St.,12/01/2012,52,56,Home,,-,424
Arkansas,12/15/2012,59,97,Away,,-,"12,484"
Temple,12/17/2012,46,63,Away,,-,"3,435"
Detroit,12/19/2012,58,74,Home,,-,50
Santa Clara,12/21/2012,58,70,Away,,-,"1,530"
SMU,12/22/2012,52,67,Neutral,"Santa Clara, CA",-,"1,523"
Canisius,12/27/2012,74,87,Away,,-,"1,388"
Syracuse,12/29/2012,36,57,Away,,-,"19,365"
Prairie View,01/02/2013,68,54,Home,,-,150
Texas Southern,01/04/2013,48,57,Home,,-,175
Jackson St.,01/06/2013,51,48,Away,,-,798
Grambling,01/08/2013,80,46,Away,,-,832
Mississippi Val.,01/12/2013,72,67,Home,,-,"1,100"
Ark.-Pine Bluff,01/14/2013,52,62,Home,,-,500
Alabama A&M,01/19/2013,69,59,Away,,-,951
Alabama St.,01/21/2013,46,49,Away,,-,954
Southern U.,01/26/2013,61,57,Home,,-,"3,000"
Jackson St.,02/02/2013,71,84,Home,,-,"3,100"
Grambling,02/04/2013,78,53,Home,,-,"3,500"
Mississippi Val.,02/09/2013,75,80,Away,,-,"4,120"
Ark.-Pine Bluff,02/11/2013,52,80,Away,,-,"4,355"
Alabama A&M,02/16/2013,65,72,Home,,-,700
Alabama St.,02/18/2013,58,66,Home,,-,700
Southern U.,02/23/2013,48,61,Away,,-,"3,442"
Prairie View,02/28/2013,81,75,Away,,-,"1,312"
Texas Southern,03/02/2013,59,78,Away,,-,"1,845"
Prairie View,03/14/2013,59,67,Neutral,"Garland, TX",-,605
