Houston Baptist,11/09/2012,68,72,Neutral,"Honolulu, HI",-,"2,500"
Hawaii,11/11/2012,54,81,Away,,-,"5,339"
UMES,11/12/2012,62,52,Neutral,"Honolulu, HI",-,"5,388"
San Diego St.,11/21/2012,43,79,Away,,-,"12,414"
Washington St.,11/24/2012,38,66,Away,,-,"4,571"
Arizona St.,11/28/2012,54,67,Away,,-,"4,545"
Oregon,12/01/2012,59,80,Away,,-,"5,281"
Michigan St.,12/05/2012,44,76,Away,,-,"14,797"
Air Force,12/08/2012,49,65,Away,,-,"1,553"
Akron,12/18/2012,46,76,Away,,-,"2,639"
UTEP,12/22/2012,61,83,Away,,-,"7,132"
Central Mich.,12/23/2012,45,62,Neutral,"El Paso, TX",-,"7,532"
Mississippi Val.,01/02/2013,79,64,Home,,-,"1,651"
Alabama St.,01/06/2013,73,58,Home,,-,"2,333"
Alabama A&M,01/08/2013,77,61,Home,,-,"3,989"
Southern U.,01/12/2013,50,84,Away,,-,"1,880"
Alcorn,01/14/2013,62,52,Away,,-,500
Texas Southern,01/19/2013,66,63,Home,,-,"3,674"
Prairie View,01/21/2013,55,51,Home,,-,"3,173"
Grambling,01/26/2013,79,67,Away,,-,"1,384"
Jackson St.,01/28/2013,67,82,Away,,-,"1,055"
Alabama St.,02/02/2013,81,77,Away,,-,"2,256"
Alabama A&M,02/04/2013,76,67,Away,,-,808
Southern U.,02/09/2013,55,52,Home,,-,"3,462"
Alcorn,02/11/2013,80,52,Home,,-,"4,355"
Texas Southern,02/16/2013,69,75,Away,,-,"1,824"
Prairie View,02/18/2013,76,47,Away,,-,"1,412"
Grambling,02/23/2013,61,45,Home,,-,"5,047"
Jackson St.,02/25/2013,73,72,Home,,-,"3,026"
Mississippi Val.,02/28/2013,78,70,Away,,1 OT,"2,073"
