Texas Southern,11/11/2012,81,63,Home,,-,"1,950"
Oakland,11/13/2012,88,80,Home,,-,"2,616"
La.-Lafayette,11/18/2012,63,57,Home,,-,"2,882"
Michigan St.,11/20/2012,70,74,Away,,-,"14,797"
UC Santa Barbara,11/24/2012,72,56,Home,,-,"3,300"
Creighton,11/28/2012,83,70,Away,,-,"16,364"
Seattle,12/02/2012,87,64,Away,,-,"2,182"
Utah,12/05/2012,55,76,Away,,-,"7,896"
LSU,12/14/2012,89,70,Home,,-,"11,210"
Idaho,12/20/2012,78,68,Neutral,"CenturyLink Arena, Boise",-,"5,548"
New Orleans,12/23/2012,67,51,Neutral,"Las Vegas, NV",-,732
Corban,12/30/2012,105,49,Home,,-,"3,785"
Texas-Arlington,01/02/2013,64,46,Away,,-,"1,107"
Walla Walla,01/05/2013,106,39,Home,,-,"5,033"
Wyoming,01/09/2013,63,61,Away,,-,"6,416"
New Mexico,01/16/2013,74,79,Home,,1 OT,"10,420"
Air Force,01/19/2013,80,91,Away,,-,"3,029"
Fresno St.,01/23/2013,74,67,Home,,-,"4,862"
Nevada,01/26/2013,59,75,Away,,-,"6,821"
Colorado St.,01/30/2013,57,77,Away,,-,"6,059"
UNLV,02/02/2013,77,72,Home,,-,"9,356"
San Diego St.,02/06/2013,62,63,Away,,-,"12,414"
Wyoming,02/09/2013,68,61,Home,,-,"8,127"
New Mexico,02/16/2013,50,60,Away,,-,"15,411"
Air Force,02/20/2013,77,65,Home,,-,"4,953"
Fresno St.,02/23/2013,72,63,Away,,-,"8,267"
Nevada,02/27/2013,73,47,Home,,-,"5,717"
Colorado St.,03/02/2013,78,65,Home,,-,"11,238"
UNLV,03/05/2013,64,68,Away,,-,"15,295"
San Diego St.,03/09/2013,69,65,Home,,-,"10,455"
San Diego St.,03/13/2013,67,73,Neutral,"Las Vegas, NV",-,"13,297"
La Salle,03/20/2013,71,80,Neutral,"Dayton, OH",-,"12,218"
