Towson,11/09/2012,75,58,Home,,-,"4,215"
St. John's (NY),11/15/2012,53,64,Home,,-,"4,716"
Auburn,11/16/2012,51,55,Home,,-,"4,780"
Boston College,11/18/2012,71,67,Home,,-,"4,262"
Baylor,11/24/2012,63,59,Away,,-,"5,768"
Charleston So.,11/28/2012,72,67,Away,,-,"1,001"
Elon,12/01/2012,56,54,Away,,-,"1,403"
Louisville,12/04/2012,38,80,Home,,-,"5,117"
Anderson (SC),12/13/2012,49,65,Home,,-,"2,218"
Old Dominion,12/18/2012,76,65,Home,,-,"3,418"
Coastal Caro.,12/22/2012,60,51,Home,,-,"3,622"
Vermont,12/29/2012,62,50,Away,,-,"2,253"
Marist,12/31/2012,85,75,Away,,-,"1,062"
Furman,01/05/2013,60,56,Home,,-,"3,885"
Samford,01/10/2013,57,62,Home,,-,"3,610"
Chattanooga,01/12/2013,86,59,Home,,-,"3,722"
Citadel,01/14/2013,73,69,Away,,-,"2,742"
Ga. Southern,01/17/2013,47,51,Away,,-,"1,733"
Davidson,01/19/2013,68,77,Away,,-,"4,844"
Citadel,01/24/2013,69,54,Home,,-,"4,118"
Wofford,01/26/2013,79,50,Away,,-,"2,203"
Appalachian St.,01/30/2013,72,59,Home,,-,"3,530"
UNC Greensboro,02/02/2013,81,59,Home,,-,"4,369"
Samford,02/07/2013,69,65,Away,,-,"1,751"
Chattanooga,02/09/2013,71,68,Away,,-,"4,487"
Davidson,02/14/2013,59,75,Home,,-,"4,314"
Ga. Southern,02/16/2013,69,60,Home,,-,"3,734"
Western Caro.,02/20/2013,67,65,Away,,-,"1,207"
Gardner-Webb,02/23/2013,52,55,Home,,-,"3,823"
Wofford,02/28/2013,55,50,Home,,-,"4,428"
Furman,03/02/2013,74,50,Away,,-,"1,143"
Western Caro.,03/09/2013,78,70,Neutral,"Asheville, NC",-,"4,689"
Elon,03/10/2013,68,60,Neutral,"Asheville, NC",-,"5,866"
Davidson,03/11/2013,55,74,Neutral,"Asheville, NC",-,"4,021"
George Mason,03/19/2013,77,78,Home,,-,"1,713"
