Gwynedd-Mercy,11/10/2012,74,56,Home,,-,"1,249"
Cairn,11/12/2012,95,46,Home,,-,"1,206"
Wagner,11/14/2012,73,69,Home,,1 OT,"1,178"
Illinois St.,11/18/2012,48,87,Away,,-,"5,660"
Northwestern,11/20/2012,50,69,Away,,-,"5,012"
Fairleigh Dickinson,11/23/2012,62,63,Neutral,"South Padre Island, TX",-,800
Navy,11/24/2012,53,63,Neutral,"South Padre Island, TX",-,700
Eastern Ky.,11/28/2012,51,84,Away,,-,"1,175"
UMES,12/01/2012,76,66,Home,,-,"1,528"
Delaware,12/08/2012,73,67,Away,,1 OT,"2,454"
Penn St.,12/15/2012,76,80,Away,,1 OT,"5,751"
Pittsburgh,12/19/2012,43,71,Away,,-,"9,522"
Maryland,12/29/2012,50,79,Away,,-,"12,389"
Marshall,01/02/2013,53,51,Away,,-,"5,039"
Arkansas,01/05/2013,51,86,Away,,-,"12,644"
UMES,01/19/2013,53,58,Away,,-,"2,018"
Howard,01/23/2013,63,46,Home,,-,"1,487"
Bethune-Cookman,01/26/2013,68,52,Away,,-,"1,001"
Florida A&M,01/28/2013,57,48,Away,,-,706
N.C. Central,02/02/2013,43,54,Home,,-,"1,471"
N.C. A&T,02/04/2013,53,44,Home,,-,"1,356"
Norfolk St.,02/09/2013,56,74,Away,,-,"3,847"
Hampton,02/11/2013,84,85,Away,,2 OT,"3,965"
Coppin St.,02/16/2013,57,43,Home,,-,"1,348"
Morgan St.,02/18/2013,52,50,Home,,-,"1,202"
Norfolk St.,02/23/2013,56,60,Home,,-,"1,843"
Hampton,02/25/2013,50,57,Home,,-,"1,368"
Howard,03/02/2013,56,53,Away,,-,406
Morgan St.,03/04/2013,47,66,Away,,-,"1,008"
South Carolina St.,03/07/2013,60,62,Away,,-,"1,328"
Howard,03/12/2013,73,61,Neutral,"Norfolk, VA",-,"2,591"
Hampton,03/14/2013,63,60,Neutral,"Norfolk, VA",-,"4,973"
N.C. A&T,03/15/2013,78,84,Neutral,"Norfolk, VA",-,"8,538"
