Virginia Tech,11/10/2012,62,80,Away,,-,"6,632"
Tennessee Tech,11/17/2012,62,65,Home,,-,"2,526"
Charleston So.,11/20/2012,59,57,Away,,-,901
Georgia,11/23/2012,38,54,Away,,-,"4,869"
Milligan,11/29/2012,94,46,Home,,-,"2,520"
James Madison,12/05/2012,45,70,Away,,-,"2,599"
North Carolina,12/08/2012,55,78,Away,,-,"17,307"
Ole Miss,12/14/2012,55,77,Away,,-,"3,411"
Charleston So.,12/18/2012,51,72,Home,,-,"1,275"
Arizona,12/22/2012,53,73,Neutral,"Honolulu, HI",-,"8,120"
Hawaii,12/23/2012,61,84,Away,,-,"6,564"
San Francisco,12/25/2012,49,67,Neutral,"Honolulu, HI",-,"6,052"
VCU,01/02/2013,58,109,Home,,-,"3,066"
Lipscomb,01/05/2013,56,60,Away,,-,"1,722"
Northern Ky.,01/07/2013,49,44,Away,,-,"1,798"
Stetson,01/10/2013,70,72,Home,,-,"2,329"
FGCU,01/12/2013,85,75,Home,,-,"2,446"
Mercer,01/17/2013,59,78,Away,,-,"2,672"
Kennesaw St.,01/19/2013,70,60,Away,,-,"1,002"
Jacksonville,01/24/2013,80,83,Home,,-,"2,638"
North Florida,01/26/2013,89,75,Home,,-,"2,795"
USC Upstate,01/28/2013,71,88,Away,,-,677
Northern Ky.,01/31/2013,68,70,Home,,-,"2,949"
Lipscomb,02/02/2013,90,88,Home,,1 OT,"2,585"
FGCU,02/07/2013,43,67,Away,,-,"2,832"
Stetson,02/09/2013,62,61,Away,,-,"1,028"
Kennesaw St.,02/14/2013,79,70,Home,,-,"2,453"
Mercer,02/16/2013,54,71,Home,,-,"2,127"
North Florida,02/21/2013,64,77,Away,,-,"1,604"
Jacksonville,02/23/2013,61,58,Away,,-,"1,216"
USC Upstate,03/01/2013,56,88,Home,,-,"4,389"
Stetson,03/07/2013,46,67,Neutral,"Macon, GA",-,"1,211"
