Denver,11/09/2012,65,58,Home,,-,"2,140"
Quinnipiac,11/16/2012,92,98,Neutral,"St. Thomas, Vir Isl",1 OT,"2,673"
Wake Forest,11/17/2012,94,68,Neutral,"St. Thomas, Vir Isl",-,"1,266"
Ill.-Chicago,11/19/2012,81,86,Neutral,"St. Thomas, Vir Isl",-,920
Niagara,11/28/2012,83,72,Home,,-,"1,918"
Saint Peter's,12/05/2012,62,64,Away,,-,"1,419"
Rutgers,12/08/2012,73,81,Neutral,"New York, NY",-,"10,003"
Georgia,12/15/2012,81,78,Away,,1 OT,"4,680"
Liberty,12/18/2012,87,69,Home,,-,"1,537"
La Salle,12/20/2012,74,88,Away,,-,"1,402"
Norfolk St.,12/23/2012,100,72,Home,,-,"1,855"
Saint Joseph's,12/28/2012,91,96,Away,,-,"4,200"
St. Bonaventure,12/31/2012,93,74,Away,,-,"3,472"
Siena,01/04/2013,66,62,Away,,-,"5,696"
Manhattan,01/06/2013,78,70,Home,,-,"2,186"
Marist,01/10/2013,86,82,Away,,-,"1,103"
Canisius,01/13/2013,97,87,Home,,-,"2,094"
Fairfield,01/18/2013,84,73,Home,,-,"2,435"
Rider,01/20/2013,62,67,Away,,-,"1,420"
Saint Peter's,01/25/2013,90,71,Home,,-,"1,925"
Loyola Maryland,01/27/2013,79,71,Away,,-,"2,028"
Niagara,01/31/2013,90,93,Away,,1 OT,"1,856"
Canisius,02/02/2013,74,77,Away,,-,"1,852"
Marist,02/07/2013,104,105,Home,,2 OT,"2,875"
Rider,02/09/2013,78,71,Home,,-,"2,161"
Manhattan,02/15/2013,73,74,Away,,2 OT,"2,520"
Fairfield,02/18/2013,64,66,Away,,-,"3,082"
Indiana St.,02/23/2013,64,65,Away,,-,"4,378"
Loyola Maryland,03/01/2013,90,86,Home,,-,"2,521"
Siena,03/03/2013,80,61,Home,,-,"2,525"
Canisius,03/09/2013,89,85,Neutral,"Springfield, MA",-,"1,900"
Niagara,03/10/2013,79,73,Neutral,"Springfield, MA",-,"2,421"
Manhattan,03/11/2013,60,57,Neutral,"Springfield, MA",-,"1,493"
Ohio St.,03/22/2013,70,95,Neutral,"Dayton, OH",-,"12,495"
