Reinhardt,11/09/2012,93,63,Home,,-,"1,109"
Eastern Mich.,11/11/2012,61,54,Home,,-,"1,032"
Alabama A&M,11/15/2012,79,61,Home,,-,"1,985"
UNLV,11/17/2012,58,77,Away,,-,"15,316"
Oregon,11/19/2012,45,67,Away,,-,"5,163"
Northern Ariz.,11/23/2012,50,48,Neutral,"Las Vegas, NV",-,"4,200"
N.C. A&T,11/24/2012,54,50,Neutral,"Las Vegas, NV",1 OT,"3,000"
Alcorn,12/01/2012,56,52,Away,,-,424
Martin Methodist,12/11/2012,79,64,Home,,-,"3,213"
Presbyterian,12/15/2012,66,59,Away,,1 OT,504
Nebraska,12/18/2012,55,59,Away,,-,"7,979"
Tennessee Tech,12/29/2012,83,62,Home,,-,"1,229"
UT Martin,12/31/2012,64,54,Away,,-,901
Belmont,01/03/2013,62,73,Home,,-,819
Tennessee St.,01/05/2013,57,66,Home,,-,"1,001"
SIU Edwardsville,01/10/2013,75,62,Away,,-,"1,903"
Eastern Ill.,01/12/2013,61,55,Away,,-,"1,366"
Tennessee St.,01/17/2013,60,66,Away,,-,"1,236"
Eastern Ky.,01/19/2013,62,73,Home,,-,"1,801"
Austin Peay,01/24/2013,81,74,Home,,-,"1,883"
Murray St.,01/26/2013,65,64,Home,,-,"3,478"
Morehead St.,02/02/2013,70,59,Home,,-,"2,743"
Tennessee Tech,02/09/2013,64,78,Away,,-,"3,101"
Morehead St.,02/14/2013,81,85,Away,,-,"1,321"
Eastern Ky.,02/16/2013,67,80,Away,,-,"3,100"
Southeast Mo. St.,02/20/2013,67,65,Home,,-,"2,013"
UNC Asheville,02/23/2013,71,69,Away,,-,"2,589"
Belmont,03/02/2013,71,78,Away,,-,"2,584"
