UCLA,11/15/2012,70,100,Away,,-,"7,554"
Duquesne,11/19/2012,88,90,Away,,1 OT,"2,166"
Youngstown St.,11/20/2012,69,68,Neutral,"Pittsburgh, PA",-,"2,060"
North Dakota St.,11/21/2012,44,66,Neutral,"Pittsburgh, PA",-,"2,325"
Miami (OH),11/24/2012,58,76,Away,,-,"1,426"
George Washington,11/28/2012,53,54,Home,,-,"3,314"
Winthrop,12/01/2012,71,61,Home,,-,"3,021"
East Tenn. St.,12/05/2012,70,45,Home,,-,"2,599"
Richmond,12/08/2012,82,83,Home,,1 OT,"4,351"
UNC Greensboro,12/16/2012,85,73,Home,,-,"2,683"
San Jose St.,12/22/2012,77,68,Neutral,"Las Vegas, NV",-,840
San Diego,12/23/2012,62,59,Neutral,"Las Vegas, NV",-,732
Old Dominion,01/02/2013,58,55,Away,,-,"6,094"
Georgia St.,01/05/2013,52,68,Away,,-,"1,030"
Hampton,01/07/2013,65,69,Away,,-,745
UNC Wilmington,01/09/2013,78,50,Home,,-,"2,837"
Drexel,01/12/2013,51,43,Home,,-,"3,213"
George Mason,01/15/2013,57,68,Away,,-,"4,241"
Towson,01/19/2013,47,73,Away,,-,"1,677"
Delaware,01/23/2013,64,50,Home,,-,"2,605"
Old Dominion,01/26/2013,56,46,Home,,-,"3,848"
UNC Wilmington,01/28/2013,63,56,Away,,-,"2,762"
Hofstra,01/31/2013,62,41,Home,,-,"2,986"
George Mason,02/02/2013,63,74,Home,,-,"5,170"
William & Mary,02/06/2013,81,71,Home,,-,"2,821"
Drexel,02/10/2013,48,60,Away,,-,"1,793"
Towson,02/12/2013,75,70,Home,,-,"2,957"
Delaware,02/17/2013,72,71,Away,,-,"3,559"
Northeastern,02/20/2013,64,66,Away,,-,"3,463"
Georgia St.,02/23/2013,62,66,Home,,-,"4,269"
William & Mary,03/02/2013,69,67,Away,,-,"3,276"
William & Mary,03/09/2013,72,67,Neutral,"Richmond, VA",-,"4,655"
Delaware,03/10/2013,58,57,Neutral,"Richmond, VA",-,"4,065"
Northeastern,03/11/2013,70,57,Neutral,"Richmond, VA",-,"6,038"
LIU Brooklyn,03/20/2013,68,55,Neutral,"Dayton, OH",-,"12,218"
Indiana,03/22/2013,62,83,Neutral,"Dayton, OH",-,"12,353"
