North Dakota,11/09/2012,85,52,Home,,-,"12,199"
Lamar,11/12/2012,79,55,Home,,-,"12,068"
Ala.-Huntsville,11/13/2012,87,26,Home,,-,"12,006"
North Florida,11/18/2012,74,55,Home,,-,"12,119"
Delaware,11/21/2012,66,63,Neutral,"New York, NY",-,"7,230"
Michigan,11/23/2012,57,71,Neutral,"New York, NY",-,"7,198"
USC Upstate,12/02/2012,72,53,Home,,-,"12,223"
George Washington,12/08/2012,65,62,Away,,-,"3,570"
Gonzaga,12/15/2012,52,68,Neutral,"Seattle, WA",-,"16,241"
Texas Southern,12/18/2012,78,69,Home,,-,"12,005"
Florida,12/22/2012,67,61,Home,"Kansas City, MO",-,"16,303"
UMKC,12/29/2012,52,44,Home,,-,"12,528"
South Dakota,12/31/2012,70,50,Home,,-,"12,230"
Oklahoma St.,01/05/2013,73,67,Home,,-,"12,528"
West Virginia,01/12/2013,65,64,Away,,-,"10,039"
TCU,01/16/2013,67,54,Away,,-,"4,872"
Oklahoma,01/19/2013,69,60,Home,,-,"12,528"
Kansas,01/22/2013,55,59,Home,,-,"12,528"
Iowa St.,01/26/2013,67,73,Away,,-,"14,376"
Texas,01/30/2013,83,57,Home,,-,"12,109"
Oklahoma,02/02/2013,52,50,Away,,-,"11,882"
Texas Tech,02/05/2013,68,59,Away,,-,"8,145"
Iowa St.,02/09/2013,79,70,Home,,-,"12,528"
Kansas,02/11/2013,62,83,Away,,-,"16,300"
Baylor,02/16/2013,81,61,Home,,-,"12,528"
West Virginia,02/18/2013,71,61,Home,,-,"12,329"
Texas,02/23/2013,81,69,Away,,-,"11,420"
Texas Tech,02/25/2013,75,55,Home,,-,"12,216"
Baylor,03/02/2013,64,61,Away,,-,"9,656"
TCU,03/05/2013,79,68,Home,,-,"12,528"
Oklahoma St.,03/09/2013,70,76,Away,,-,"13,611"
Texas,03/14/2013,66,49,Neutral,"Kansas City, MO",-,"17,257"
Oklahoma St.,03/15/2013,68,57,Neutral,"Kansas City, MO",-,"19,160"
Kansas,03/16/2013,54,70,Neutral,"Kansas City, MO",-,"19,256"
La Salle,03/22/2013,61,63,Neutral,"Kansas City, MO",-,"18,301"
