Sewanee,11/10/2012,65,36,Home,,-,"3,497"
Oglethorpe,11/12/2012,70,25,Home,,-,"1,572"
George Mason,11/16/2012,49,52,Neutral,"St. Thomas, Vir Isl",-,"2,673"
Ill.-Chicago,11/17/2012,36,62,Neutral,"St. Thomas, Vir Isl",-,"1,266"
Wake Forest,11/19/2012,71,74,Neutral,"St. Thomas, Vir Isl",-,"3,022"
Furman,11/25/2012,73,46,Home,,-,"2,272"
New Mexico,11/28/2012,58,76,Away,,-,"13,561"
Florida St.,12/02/2012,61,56,Away,,-,"6,088"
Denver,12/05/2012,40,69,Away,,-,"1,341"
Alabama A&M,12/08/2012,65,46,Home,,-,"2,261"
Chattanooga,12/16/2012,63,53,Away,,-,"2,408"
Georgia,12/18/2012,49,58,Away,,-,"8,650"
Alabama,12/22/2012,66,59,Away,,-,"10,243"
Stetson,12/31/2012,70,64,Home,,-,"2,427"
FGCU,01/02/2013,77,70,Home,,1 OT,"2,742"
Kennesaw St.,01/05/2013,75,83,Away,,-,"1,981"
North Florida,01/10/2013,66,47,Away,,-,"1,753"
Jacksonville,01/12/2013,47,49,Away,,-,"1,272"
East Tenn. St.,01/17/2013,78,59,Home,,-,"2,672"
USC Upstate,01/19/2013,82,74,Home,,-,"2,734"
Northern Ky.,01/24/2013,46,63,Away,,-,"3,086"
Lipscomb,01/26/2013,71,65,Away,,-,"2,926"
Kennesaw St.,02/01/2013,66,42,Home,,-,"3,072"
Jacksonville,02/07/2013,67,64,Home,,1 OT,"2,372"
North Florida,02/09/2013,64,44,Home,,-,"3,207"
USC Upstate,02/14/2013,70,59,Away,,-,611
East Tenn. St.,02/16/2013,71,54,Away,,-,"2,127"
Lipscomb,02/21/2013,83,58,Home,,-,"2,727"
Northern Ky.,02/23/2013,63,46,Home,,-,"3,527"
FGCU,02/28/2013,57,60,Away,,-,"3,586"
Stetson,03/02/2013,77,65,Away,,-,924
Lipscomb,03/06/2013,82,48,Home,,-,"3,527"
USC Upstate,03/08/2013,72,64,Home,,-,"3,527"
FGCU,03/09/2013,75,88,Home,,-,"3,494"
Tennessee,03/20/2013,75,67,Away,,-,"4,468"
BYU,03/25/2013,71,90,Away,,-,"12,929"
