Stetson,11/09/2012,87,79,Home,,-,"3,160"
FGCU,11/13/2012,51,63,Away,,-,"4,552"
Jacksonville,11/16/2012,73,57,Home,,-,"3,135"
Detroit,11/24/2012,77,62,Home,,-,"2,946"
Michigan St.,11/28/2012,67,59,Home,,-,"5,791"
Massachusetts,12/01/2012,75,62,Away,,-,"7,004"
Charlotte,12/14/2012,77,46,Home,,-,"3,275"
UCF,12/18/2012,72,50,Away,,-,"5,189"
Hawaii,12/22/2012,73,58,Away,,-,"8,120"
Arizona,12/23/2012,50,69,Neutral,"Honolulu, HI",-,"6,564"
Indiana St.,12/25/2012,55,57,Neutral,"Honolulu, HI",1 OT,"6,514"
La Salle,01/02/2013,76,59,Home,,-,"3,259"
Georgia Tech,01/05/2013,62,49,Away,,-,"7,614"
North Carolina,01/10/2013,68,59,Away,,-,"20,516"
Maryland,01/13/2013,54,47,Home,,-,"5,809"
Boston College,01/16/2013,60,59,Away,,-,"3,624"
Duke,01/23/2013,90,63,Home,,-,"7,972"
Florida St.,01/27/2013,71,47,Home,,-,"7,972"
Virginia Tech,01/30/2013,73,64,Away,,-,"5,436"
North Carolina St.,02/02/2013,79,78,Away,,-,"19,557"
Boston College,02/05/2013,72,50,Home,,-,"5,149"
North Carolina,02/09/2013,87,61,Home,,-,"7,972"
Florida St.,02/13/2013,74,68,Away,,-,"9,007"
Clemson,02/17/2013,45,43,Away,,-,"8,998"
Virginia,02/19/2013,54,50,Home,,-,"7,972"
Wake Forest,02/23/2013,65,80,Away,,-,"12,037"
Virginia Tech,02/27/2013,76,58,Home,,-,"7,434"
Duke,03/02/2013,76,79,Away,,-,"9,314"
Georgia Tech,03/06/2013,69,71,Home,,-,"7,394"
Clemson,03/09/2013,62,49,Home,,-,"7,972"
Boston College,03/15/2013,69,58,Neutral,"Greensboro, NC",-,"22,169"
North Carolina St.,03/16/2013,81,71,Neutral,"Greensboro, NC",-,"22,169"
North Carolina,03/17/2013,87,77,Neutral,"Greensboro, NC",-,"22,169"
Pacific,03/22/2013,78,49,Neutral,"Austin, TX",-,"13,784"
Illinois,03/24/2013,63,59,Neutral,"Austin, TX",-,"14,520"
Marquette,03/28/2013,61,71,Neutral,"Washington, D.C.",-,"19,731"
