Valley City St.,11/09/2012,93,47,Home,,-,"1,782"
Indiana,11/12/2012,61,87,Away,,-,"17,145"
Mayville St.,11/17/2012,73,40,Home,,-,"1,568"
Youngstown St.,11/19/2012,83,80,Neutral,"Pittsburgh, PA",1 OT,"2,166"
Duquesne,11/20/2012,57,43,Away,,-,"2,060"
James Madison,11/21/2012,66,44,Neutral,"Pittsburgh, PA",-,"2,325"
Green Bay,11/24/2012,59,74,Away,,-,"2,455"
Neb. Omaha,11/29/2012,95,51,Home,,-,"2,576"
Morehead St.,12/05/2012,69,57,Away,,-,"1,240"
North Dakota,12/09/2012,72,52,Home,,-,"5,168"
Minnesota,12/11/2012,57,70,Away,,-,"10,472"
Towson,12/15/2012,65,48,Away,,-,"1,634"
Morehead St.,12/21/2012,69,49,Home,,-,"2,214"
South Dakota St.,12/29/2012,65,62,Home,,-,"5,064"
South Dakota,01/03/2013,92,66,Away,,-,"1,741"
UMKC,01/05/2013,63,44,Away,,-,"1,118"
IPFW,01/10/2013,67,55,Home,,-,"2,690"
Oakland,01/12/2013,73,65,Home,,-,"3,390"
IUPUI,01/17/2013,78,40,Away,,-,"1,312"
Western Ill.,01/19/2013,42,50,Away,,-,"3,973"
South Dakota St.,01/26/2013,53,69,Away,,-,"6,063"
UMKC,01/31/2013,71,34,Home,,-,"1,741"
South Dakota,02/02/2013,65,46,Home,,-,"3,062"
Oakland,02/07/2013,63,66,Away,,-,"2,117"
IPFW,02/09/2013,58,54,Away,,-,"1,176"
Western Ill.,02/14/2013,36,49,Home,,-,"3,218"
IUPUI,02/16/2013,75,39,Home,,-,"2,948"
Akron,02/22/2013,53,68,Away,,-,"4,474"
Utah Valley,02/26/2013,63,56,Home,,-,"2,351"
Neb. Omaha,03/02/2013,84,57,Away,,-,"1,426"
UMKC,03/10/2013,69,58,Neutral,"Sioux Falls, SD",-,"3,786"
Western Ill.,03/11/2013,55,43,Neutral,"Sioux Falls, SD",-,"6,676"
South Dakota St.,03/12/2013,67,73,Neutral,"Sioux Falls, SD",-,"6,544"
Western Mich.,03/20/2013,71,72,Away,,1 OT,"1,358"
