Edward Waters,11/10/2012,79,65,Home,,-,"1,602"
Memphis,11/12/2012,66,81,Away,,-,"15,668"
Savannah St.,11/14/2012,47,54,Away,,-,"1,055"
Kansas St.,11/18/2012,55,74,Away,,-,"12,119"
Florida St.,11/21/2012,67,75,Away,,-,"6,685"
Bethune-Cookman,11/27/2012,71,65,Away,,-,"2,817"
Florida A&M,11/29/2012,72,47,Home,,-,"1,580"
Minnesota,12/01/2012,59,87,Away,,-,"10,173"
Pittsburgh,12/08/2012,47,89,Away,,-,"8,708"
Colorado St.,12/17/2012,55,83,Away,,-,"3,556"
Portland,12/19/2012,64,74,Away,,-,"1,003"
CSU Bakersfield,12/22/2012,80,70,Neutral,"Las Vegas, NV",-,275
Ga. Southern,12/23/2012,74,46,Neutral,"Las Vegas, NV",-,350
Lipscomb,12/31/2012,84,70,Home,,-,976
Northern Ky.,01/02/2013,52,65,Home,,-,852
Stetson,01/05/2013,90,74,Away,,-,"1,004"
FGCU,01/07/2013,73,75,Away,,-,"2,231"
Mercer,01/10/2013,47,66,Home,,-,"1,753"
Kennesaw St.,01/12/2013,81,72,Home,,-,"1,018"
Jacksonville,01/18/2013,68,77,Home,,-,"4,018"
USC Upstate,01/24/2013,57,63,Away,,-,688
East Tenn. St.,01/26/2013,75,89,Away,,-,"2,795"
FGCU,01/31/2013,75,89,Home,,-,"1,358"
Stetson,02/02/2013,64,59,Home,,-,"1,589"
Kennesaw St.,02/07/2013,60,52,Away,,-,"2,148"
Mercer,02/09/2013,44,64,Away,,-,"3,207"
Jacksonville,02/15/2013,68,70,Away,,-,"4,637"
East Tenn. St.,02/21/2013,77,64,Home,,-,"1,604"
USC Upstate,02/23/2013,77,53,Home,,-,"1,651"
Northern Ky.,02/28/2013,45,72,Away,,-,"3,356"
Lipscomb,03/02/2013,85,78,Away,,-,"2,674"
FGCU,03/06/2013,63,73,Neutral,"Macon, GA",-,683
