Boston U.,11/09/2012,65,64,Home,,-,"3,242"
Princeton,11/13/2012,67,66,Away,,-,"1,481"
Vermont,11/17/2012,55,66,Home,,-,"1,369"
UC Riverside,11/21/2012,61,52,Neutral,"Anchorage, AK",-,"4,230"
Belmont,11/23/2012,74,71,Neutral,"Anchorage, AK",-,"4,699"
Charlotte,11/24/2012,59,67,Neutral,"Anchorage, AK",-,"4,553"
Maine,11/28/2012,73,76,Home,,-,724
Massachusetts,12/04/2012,66,72,Home,,-,"2,441"
La Salle,12/08/2012,64,66,Home,,-,"1,839"
UNC Asheville,12/18/2012,73,79,Home,,-,"2,134"
Central Conn. St.,12/21/2012,82,63,Away,,-,"1,526"
UAB,12/29/2012,63,83,Away,,-,"3,527"
George Mason,01/03/2013,84,74,Away,,-,"3,724"
UNC Wilmington,01/05/2013,68,64,Home,,-,"2,482"
Drexel,01/08/2013,63,58,Away,,1 OT,"1,923"
Towson,01/12/2013,70,59,Away,,-,"1,814"
Hofstra,01/16/2013,65,60,Home,,-,"1,951"
Delaware,01/19/2013,74,70,Away,,-,"2,685"
William & Mary,01/23/2013,95,91,Home,,2 OT,"1,004"
George Mason,01/27/2013,71,51,Home,,-,"1,971"
Georgia St.,01/30/2013,73,78,Home,,-,"1,845"
Drexel,02/02/2013,59,52,Home,,-,"2,448"
Hofstra,02/06/2013,62,57,Away,,-,"1,879"
Old Dominion,02/09/2013,79,74,Away,,1 OT,"6,532"
William & Mary,02/11/2013,68,64,Away,,-,"2,275"
Delaware,02/13/2013,74,76,Home,,1 OT,"1,399"
UNC Wilmington,02/16/2013,67,73,Away,,-,"3,730"
James Madison,02/20/2013,66,64,Home,,-,"3,463"
Georgia St.,02/27/2013,90,84,Away,,1 OT,"1,576"
Old Dominion,03/02/2013,74,81,Home,,-,"1,927"
George Mason,03/10/2013,69,67,Neutral,"Richmond, VA",-,"4,065"
James Madison,03/11/2013,57,70,Neutral,"Richmond, VA",-,"6,038"
Alabama,03/19/2013,43,62,Away,,-,"2,889"
