UTEP,11/09/2012,49,69,Away,,-,"8,564"
St. Gregory's,11/14/2012,90,41,Home,,-,"2,482"
Pacific,11/19/2012,69,67,Away,,-,"1,430"
Loyola Marymount,11/22/2012,75,66,Neutral,"Anchorage, AK",-,"4,141"
Charlotte,11/23/2012,58,72,Neutral,"Anchorage, AK",-,"4,724"
Belmont,11/24/2012,67,70,Neutral,"Anchorage, AK",-,"4,452"
Oklahoma,11/28/2012,62,63,Home,,-,"7,219"
Missouri St.,12/01/2012,72,52,Away,,-,"6,475"
Texas St.,12/05/2012,86,77,Away,,-,"1,609"
Arizona,12/18/2012,64,89,Away,,-,"13,067"
Tulsa,12/22/2012,68,72,Home,,-,"6,020"
Memphis,12/28/2012,57,72,Away,,-,"16,410"
Southeastern La.,01/03/2013,86,72,Away,,-,831
Nicholls St.,01/05/2013,76,63,Away,,-,530
Northwestern St.,01/10/2013,80,74,Home,,-,"3,137"
Stephen F. Austin,01/12/2013,50,61,Home,,-,"3,565"
A&M-Corpus Christi,01/17/2013,64,52,Away,,-,"1,076"
Sam Houston St.,01/19/2013,65,61,Away,,1 OT,"1,261"
Lamar,01/24/2013,91,74,Home,,-,"3,444"
McNeese St.,01/26/2013,75,54,Home,,-,"3,960"
Nicholls St.,01/31/2013,90,78,Home,,-,"3,870"
Southeastern La.,02/02/2013,65,59,Home,,-,"6,242"
Northwestern St.,02/07/2013,73,85,Away,,-,"2,933"
Stephen F. Austin,02/09/2013,67,77,Away,,-,"4,377"
Sam Houston St.,02/14/2013,74,64,Home,,-,"3,294"
A&M-Corpus Christi,02/16/2013,56,51,Home,,-,"6,203"
Central Ark.,02/19/2013,94,65,Home,,-,"3,559"
Weber St.,02/23/2013,66,70,Home,,-,"6,890"
McNeese St.,02/28/2013,54,56,Away,,-,"1,192"
Lamar,03/02/2013,68,50,Away,,-,"6,059"
Central Ark.,03/09/2013,84,86,Away,,1 OT,"1,858"
Sam Houston St.,03/14/2013,55,58,Neutral,"Katy, TX",-,"1,480"
Texas-Arlington,03/20/2013,84,76,Away,,-,"1,627"
UC Irvine,03/25/2013,76,62,Home,,-,"2,142"
Weber St.,03/27/2013,74,83,Away,,-,"6,638"
