Norfolk St.,11/09/2012,55,67,Home,,-,"5,045"
Virginia Tech,11/12/2012,50,69,Away,,-,"6,270"
Ohio St.,11/17/2012,58,69,Neutral,"Uncasville, CT",-,"6,003"
Seton Hall,11/18/2012,55,60,Neutral,"Uncasville, CT",-,"3,865"
Loyola Maryland,11/23/2012,54,58,Home,,1 OT,"3,614"
Auburn,11/25/2012,78,72,Away,,2 OT,"4,557"
George Mason,11/28/2012,52,55,Home,,-,"4,056"
Vermont,12/01/2012,76,66,Home,,-,"4,126"
Providence,12/06/2012,57,72,Away,,-,"9,344"
SMU,12/15/2012,72,50,Home,,-,"3,822"
Georgia St.,12/22/2012,65,60,Home,,-,"3,822"
St. Mary's (CA),12/27/2012,59,82,Away,,-,"2,783"
Brown,01/04/2013,59,47,Home,,-,"3,858"
Richmond,01/09/2013,61,64,Away,,-,"4,024"
Charlotte,01/12/2013,50,58,Home,,-,"3,758"
Saint Louis,01/19/2013,82,80,Away,,1 OT,"8,693"
George Washington,01/23/2013,65,66,Home,,-,"4,111"
Fordham,01/26/2013,63,66,Away,,-,"3,014"
VCU,01/30/2013,64,70,Home,,-,"6,632"
Butler,02/02/2013,68,75,Away,,-,"10,000"
Massachusetts,02/06/2013,53,81,Away,,-,"4,124"
St. Bonaventure,02/09/2013,61,67,Home,,-,"1,933"
Dayton,02/13/2013,75,72,Home,,-,"3,388"
Duquesne,02/16/2013,67,62,Away,,-,"2,632"
Xavier,02/20/2013,42,55,Home,,-,"6,154"
La Salle,02/24/2013,65,72,Home,,-,"5,180"
Temple,03/02/2013,70,76,Away,,-,"9,493"
Saint Joseph's,03/06/2013,44,81,Away,,-,"3,743"
Massachusetts,03/09/2013,66,75,Home,,-,"4,869"
