Rutgers,11/09/2012,56,52,Away,,-,"3,906"
Central Conn. St.,11/12/2012,64,61,Home,,-,"1,219"
Cornell,11/16/2012,68,64,Away,,-,"1,417"
Binghamton,11/18/2012,54,62,Away,,-,"1,937"
Seton Hall,11/25/2012,61,76,Away,,-,"6,207"
Fairleigh Dickinson,11/28/2012,61,66,Home,,-,"1,028"
Boston U.,12/01/2012,66,74,Home,,-,875
Iona,12/05/2012,64,62,Home,,-,"1,419"
Loyola Maryland,12/08/2012,55,61,Home,"East Rutherford, NJ",-,"12,157"
LIU Brooklyn,12/19/2012,80,67,Home,,-,"1,158"
Loyola Chicago,12/22/2012,49,54,Home,,-,789
Central Conn. St.,12/29/2012,71,69,Away,,-,"1,216"
Manhattan,01/04/2013,53,55,Home,,-,984
Loyola Maryland,01/06/2013,58,74,Away,,-,532
Niagara,01/11/2013,58,77,Home,,-,"1,103"
Siena,01/13/2013,53,66,Away,,-,"6,299"
Rider,01/17/2013,54,66,Home,,-,"2,091"
Marist,01/19/2013,48,59,Away,,-,"1,202"
Iona,01/25/2013,71,90,Away,,-,"1,925"
Fairfield,01/27/2013,54,61,Home,,-,"1,131"
Marist,01/31/2013,70,68,Home,,1 OT,953
Manhattan,02/03/2013,49,57,Away,,-,"1,421"
Fairfield,02/07/2013,44,61,Away,,-,"1,263"
Siena,02/10/2013,72,62,Home,,-,709
Rider,02/14/2013,57,72,Away,,-,"1,545"
Canisius,02/16/2013,59,68,Home,,-,653
Hampton,02/23/2013,66,59,Away,,-,"1,643"
Canisius,02/28/2013,65,77,Away,,1 OT,"1,483"
Niagara,03/02/2013,61,78,Away,,-,"1,665"
Fairfield,03/08/2013,47,54,Neutral,"Springfield, MA",-,"2,038"
