Arkansas,11/09/2012,68,73,Away,,-,"12,253"
Hardin-Simmons,11/13/2012,82,31,Home,,-,"1,175"
Indiana,11/15/2012,45,99,Away,,-,"17,472"
Southern Miss.,11/19/2012,49,61,Home,,-,"1,089"
Liberty,11/20/2012,64,50,Home,,-,599
UC Irvine,11/21/2012,65,63,Home,,1 OT,531
Texas,11/27/2012,37,65,Away,,-,"9,170"
Northern Ariz.,12/01/2012,60,77,Away,,-,"1,807"
Houston Baptist,12/08/2012,69,57,Away,,-,691
Samford,12/15/2012,73,57,Away,,-,649
Huston-Tillotson,12/19/2012,89,53,Home,,-,567
Howard Payne,12/29/2012,90,49,Home,,-,569
A&M-Corpus Christi,01/04/2013,61,57,Home,,-,492
Northwestern St.,01/07/2013,64,73,Home,,-,711
Lamar,01/10/2013,68,57,Away,,-,"2,246"
McNeese St.,01/12/2013,72,57,Away,,-,722
Central Ark.,01/17/2013,63,52,Home,,-,"1,231"
Oral Roberts,01/19/2013,61,65,Home,,1 OT,"1,261"
Southeastern La.,01/24/2013,65,69,Away,,-,"1,397"
Nicholls St.,01/26/2013,67,70,Away,,1 OT,682
A&M-Corpus Christi,02/02/2013,55,51,Away,,-,537
McNeese St.,02/07/2013,58,59,Home,,1 OT,"1,672"
Lamar,02/09/2013,78,40,Home,,-,"1,171"
Oral Roberts,02/14/2013,64,74,Away,,-,"3,294"
Central Ark.,02/16/2013,80,75,Away,,-,"1,067"
Stephen F. Austin,02/20/2013,44,50,Home,,-,"2,395"
Eastern Wash.,02/23/2013,76,81,Away,,-,"1,023"
Nicholls St.,02/28/2013,53,56,Home,,-,821
Southeastern La.,03/02/2013,54,45,Home,,-,"1,031"
Stephen F. Austin,03/07/2013,42,57,Away,,-,"3,517"
Northwestern St.,03/09/2013,73,84,Away,,-,"2,603"
Central Ark.,03/13/2013,69,63,Neutral,"Katy, TX",-,"1,276"
Oral Roberts,03/14/2013,58,55,Neutral,"Katy, TX",-,"1,480"
Northwestern St.,03/15/2013,52,55,Neutral,"Katy, TX",-,"2,341"
