Florida St.,11/09/2012,76,71,Away,,-,"9,070"
William Carey,11/14/2012,82,64,Home,,-,"2,861"
Tennessee St.,11/19/2012,57,68,Neutral,"Atlanta, GA",-,339
Monmouth,11/20/2012,71,73,Neutral,"Atlanta, GA",-,336
Georgia St.,11/21/2012,73,75,Away,,-,"1,028"
Fla. Atlantic,11/29/2012,77,66,Away,,-,"1,337"
FIU,12/01/2012,79,68,Away,,-,920
New Mexico St.,12/04/2012,52,58,Home,,-,"2,067"
UAB,12/08/2012,78,92,Away,,-,"3,755"
A&M-Corpus Christi,12/16/2012,74,69,Home,,-,"1,764"
UALR,12/22/2012,77,62,Home,,-,"1,875"
Arkansas St.,12/29/2012,54,63,Home,,-,"2,545"
La.-Monroe,01/03/2013,77,72,Away,,-,988
Middle Tenn.,01/05/2013,56,60,Home,,-,"2,602"
La.-Lafayette,01/10/2013,91,89,Away,,2 OT,"2,037"
North Texas,01/12/2013,56,66,Away,,-,"3,642"
La.-Monroe,01/17/2013,71,56,Home,,-,"2,045"
Western Ky.,01/24/2013,65,57,Home,,-,"2,335"
FIU,01/27/2013,60,58,Home,,-,"2,147"
Arkansas St.,01/31/2013,62,74,Away,,-,"2,862"
UALR,02/02/2013,70,66,Away,,-,"3,935"
Troy,02/07/2013,65,62,Home,,-,"2,358"
Fla. Atlantic,02/09/2013,72,71,Home,,-,"4,271"
La.-Lafayette,02/14/2013,88,64,Home,,-,"1,726"
Middle Tenn.,02/21/2013,50,85,Away,,-,"5,712"
North Texas,02/23/2013,69,57,Home,,-,"4,001"
Western Ky.,02/28/2013,73,79,Away,,-,"4,024"
Troy,03/02/2013,53,49,Away,,-,"3,219"
Western Ky.,03/09/2013,59,62,Neutral,"Hot Springs, AR",-,"4,118"
Tulane,03/20/2013,73,84,Away,,-,"1,682"
