Kansas,11/09/2012,55,74,Away,,-,"16,300"
Lyon,11/12/2012,89,61,Home,,-,"1,909"
McNeese St.,11/15/2012,64,53,Home,,-,"2,125"
Chattanooga,11/18/2012,77,65,Away,,-,"2,524"
Louisiana Tech,11/19/2012,63,67,Neutral,"Chattanooga, TN",-,"2,457"
Troy,11/20/2012,56,59,Neutral,"Chattanooga, TN",-,"2,395"
Ill.-Chicago,11/24/2012,45,56,Away,,-,"2,542"
Hannibal-La Grange,11/26/2012,96,55,Home,,-,"1,714"
New Orleans,11/29/2012,83,67,Away,,-,442
Southeastern La.,12/01/2012,61,58,Away,,-,843
Missouri,12/04/2012,65,81,Away,,-,"7,905"
Central Ark.,12/08/2012,85,88,Home,,-,"2,384"
New Orleans,12/19/2012,94,71,Home,,-,"1,820"
UMKC,12/22/2012,66,65,Away,,-,886
UT Martin,12/29/2012,65,60,Home,,-,"1,752"
Austin Peay,01/03/2013,86,84,Home,,-,"1,845"
Murray St.,01/05/2013,66,74,Home,,-,"4,915"
Belmont,01/10/2013,72,107,Away,,-,"1,923"
Tennessee St.,01/12/2013,69,81,Away,,-,776
Morehead St.,01/17/2013,59,75,Home,,-,"1,856"
Tennessee Tech,01/19/2013,74,62,Home,,-,"2,294"
SIU Edwardsville,01/24/2013,77,80,Away,,-,"1,989"
Eastern Ill.,01/26/2013,72,78,Away,,1 OT,"1,288"
Eastern Ky.,02/02/2013,72,81,Home,,-,"2,922"
SIU Edwardsville,02/07/2013,76,67,Home,,-,"2,212"
Eastern Ill.,02/09/2013,77,64,Home,,-,"2,509"
UT Martin,02/16/2013,96,74,Away,,-,"2,541"
Jacksonville St.,02/20/2013,65,67,Away,,-,"2,013"
Ball St.,02/23/2013,82,85,Home,,-,"2,484"
Austin Peay,02/28/2013,108,81,Away,,-,"1,920"
Murray St.,03/02/2013,84,68,Away,,-,"7,489"
Eastern Ill.,03/06/2013,78,68,Neutral,"Nashville, TN",-,"1,010"
Eastern Ky.,03/07/2013,69,84,Neutral,"Nashville, TN",-,"1,398"
