Fresno St.,11/09/2012,55,53,Home,,-,"10,389"
Coppin St.,11/12/2012,69,46,Home,,-,"8,603"
Chaminade,11/19/2012,73,86,Neutral,"Maui, HI",-,"2,400"
Southern California,11/20/2012,53,59,Neutral,"Maui, HI",1 OT,"2,400"
Mississippi St.,11/21/2012,69,55,Neutral,"Maui, HI",-,"2,400"
Sam Houston St.,11/27/2012,65,37,Home,,-,"9,170"
Texas-Arlington,12/01/2012,70,54,Home,,-,"8,724"
Georgetown,12/04/2012,41,64,Neutral,"New York, NY",-,"11,840"
UCLA,12/08/2012,63,65,Neutral,"Houston, TX",-,"2,797"
Texas St.,12/15/2012,75,63,Home,,-,"10,189"
North Carolina,12/19/2012,85,67,Home,,-,"13,134"
Michigan St.,12/22/2012,56,67,Away,,-,"14,797"
Rice,12/29/2012,57,41,Home,,-,"10,943"
Baylor,01/05/2013,79,86,Away,,1 OT,"7,749"
West Virginia,01/09/2013,53,57,Home,,1 OT,"9,873"
Iowa St.,01/12/2013,62,82,Away,,-,"14,376"
Kansas,01/19/2013,59,64,Home,,-,"14,312"
Oklahoma,01/21/2013,67,73,Away,,-,"10,409"
Texas Tech,01/26/2013,73,57,Home,,-,"12,742"
Kansas St.,01/30/2013,57,83,Away,,-,"12,109"
TCU,02/02/2013,60,43,Home,,-,"11,641"
West Virginia,02/04/2013,58,60,Away,,-,"4,966"
Oklahoma St.,02/09/2013,59,72,Home,,-,"14,036"
Iowa St.,02/13/2013,89,86,Home,,2 OT,"9,729"
Kansas,02/16/2013,47,73,Away,,-,"16,300"
TCU,02/19/2013,68,59,Away,,-,"5,451"
Kansas St.,02/23/2013,69,81,Home,,-,"11,420"
Oklahoma,02/27/2013,92,86,Home,,1 OT,"9,860"
Oklahoma St.,03/02/2013,65,78,Away,,-,"12,474"
Baylor,03/04/2013,79,70,Home,,-,"10,351"
Texas Tech,03/09/2013,71,69,Away,,1 OT,"9,542"
TCU,03/13/2013,70,57,Neutral,"Kansas City, MO",-,"17,018"
Kansas St.,03/14/2013,49,66,Neutral,"Kansas City, MO",-,"17,257"
Houston,03/20/2013,72,73,Away,,-,"4,407"
